Compound_CID,Molecular_Weight,Molecular_Formula,SMILES,IUPAC_Name,Linked_PubChem_Literature_Count,Linked_PubChem_Patent_Count,Modified_Formula,Matched_Y_CID,Filtered_SMILES_X,Prefix_X,Matched_Y_SMILES_Count,Matched_Y_CIDs
172994227,338.4,C21H22O4,CC(C)CCC1=CC2=C(C=C1OC)OC(=CC2=O)C3=CC=C(C=C3)O,2-(4-hydroxyphenyl)-7-methoxy-6-(3-methylbutyl)chromen-4-one,0,0,C21H22O5,10338211.0,CCCCCCCCCCCOCOCCCOCCCCCCO,CCCCCCCCCCCOCOCCCOCCCCCCO,1,141457688
172992610,192.21,C11H12O3,C1COCC(C1=O)C2=CC=C(C=C2)O,3-(4-hydroxyphenyl)oxan-4-one,0,0,C11H12O4,69197308.0,CCOCCCOCCCCCCO,CCOCCCOCCCCCCO,1,58473006
172914199,308.3,C19H16O4,COC1=C(C(=C(C(=C1)C2=CC=C(C=C2)O)O)O)C3=CC=CC=C3,"6-(4-hydroxyphenyl)-4-methoxy-3-phenylbenzene-1,2-diol",0,0,C19H16O5,67910037.0,COCCCCCCCCCCCCOOOCCCCCC,COCCCCCCCCCCCCOOOCCCCCC,1,145976670
172883251,300.4,C19H24O3,C[C@]12CCC(C1(C)C)CC2OC(=O)/C=C/C3=CC=C(C=C3)O,"[(1S)-1,7,7-trimethyl-2-bicyclo[2.2.1]heptanyl] (E)-3-(4-hydroxyphenyl)prop-2-enoate",0,0,C19H24O4,122821.0,CCCCCCCCCCOCOCCCCCCCCO,CCCCCCCCCCOCOCCCCCCCCO,11,162912756;162912755;145371443;130440848;130431575;101027453;70152895;44452404;18406287;17754957;10245230
45359773,290.4,C18H26O3,CC(C)(C(CCC(C)(C=C)/C=C/C1=CC=C(C=C1)O)O)O,"(E)-6-ethenyl-8-(4-hydroxyphenyl)-2,6-dimethyloct-7-ene-2,3-diol",0,0,C18H26O4,20606373.0,CCCCCCCCCCCCCCCCCCOOO,CCCCCCCCCCCCCCCCCCOOO,1,171836160
172871432,458.5,C28H26O6,C1=CC(=CC(=C1)O)CCC2=CC(=CC(=C2)OC3=C(C=C(C(=C3)CCC4=CC=C(C=C4)O)O)O)O,"4-[3-hydroxy-5-[2-(3-hydroxyphenyl)ethyl]phenoxy]-6-[2-(4-hydroxyphenyl)ethyl]benzene-1,3-diol",0,0,C28H26O7,172870813.0,CCCCCCOCCCCCCCCOCCCCCCCCCCCCCCOOOO,CCCCCCOCCCCCCCCOCCCCCCCCCCCCCCOOOO,2,172871429;172871316
172871425,458.5,C28H26O6,C1=CC(=CC(=C1)O)CCC2=CC(=C(C=C2)OC3=C(C=C(C(=C3)CCC4=CC=C(C=C4)O)O)O)O,"4-[2-hydroxy-4-[2-(3-hydroxyphenyl)ethyl]phenoxy]-6-[2-(4-hydroxyphenyl)ethyl]benzene-1,3-diol",0,0,C28H26O7,172870813.0,CCCCCCOCCCCCCCCOCCCCCCCCCCCCCCOOOO,CCCCCCOCCCCCCCCOCCCCCCCCCCCCCCOOOO,2,172871429;172871316
172871421,442.5,C28H26O5,C1=CC(=CC(=C1)O)CCC2=CC=C(C=C2)OC3=C(C=C(C(=C3)CCC4=CC=C(C=C4)O)O)O,"4-[2-(4-hydroxyphenyl)ethyl]-6-[4-[2-(3-hydroxyphenyl)ethyl]phenoxy]benzene-1,3-diol",0,0,C28H26O6,10253626.0,CCCCCCOCCCCCCCCOCCCCCCCCCCCCCCOOO,CCCCCCOCCCCCCCCOCCCCCCCCCCCCCCOOO,4,172871139;172871134;172870517;100953276
172871418,442.5,C28H26O5,C1=CC(=CC(=C1)OC2=C(C=C(C(=C2)CCC3=CC=C(C=C3)O)O)O)CCC4=CC=C(C=C4)O,"4-[2-(4-hydroxyphenyl)ethyl]-6-[3-[2-(4-hydroxyphenyl)ethyl]phenoxy]benzene-1,3-diol",0,0,C28H26O6,10253626.0,CCCCCCOCCCCCCCCCCCCCCOOOCCCCCCCCO,CCCCCCOCCCCCCCCCCCCCCOOOCCCCCCCCO,1,172871416
172871417,442.5,C28H26O5,C1=CC(=CC(=C1)O)CCC2=CC(=CC=C2)OC3=C(C=C(C(=C3)CCC4=CC=C(C=C4)O)O)O,"4-[2-(4-hydroxyphenyl)ethyl]-6-[3-[2-(3-hydroxyphenyl)ethyl]phenoxy]benzene-1,3-diol",0,0,C28H26O6,10253626.0,CCCCCCOCCCCCCCCOCCCCCCCCCCCCCCOOO,CCCCCCOCCCCCCCCOCCCCCCCCCCCCCCOOO,4,172871139;172871134;172870517;100953276
