Molecular_Formula,Trimmed_SMILES
C19H14O6,CCCCCCCCCOOCCCOOCCCCCCO
C11H12O5,CCCCCCCOCCCOOO
C15H14O6,CCCCCCCCCCCOCCOCOOO
C16H20O10,CCCCCCCCCOOCCCCCOCOOOOOO
C20H22O4,CCCCCCCCCOOCCCCCCCCCCO
C17H18O8,CCCCCCCCCOCCCCCCOOCOOOO
C17H16O4,CCCCCCCCCCCCOCCCCOO
C18H16O5,CCCCCCCCCCCOCCOCCCCOO
C18H16O5,CCCCCCCCCCCOCCOCCCCOO
C17H14O5,CCCCCCCOCCCCCCCCOCOO
C17H14O5,CCCCCCCOCCCCCCCCOCOO
C17H14O5,CCCCCCCOCCCCCCCCCOOO
C10H12O5,CCCCCCCCOCOOO
C16H20O4,CCCCCCCCCOOCCCCCCO
C18H14O6,CCCCCCCCCCCCCCCCCOOOOO
C19H16O6,CCCCCCCCCCCCCCCCCOOOOCO
C13H14O4,CCCCCCCCCCOCCOO
C13H14O4,CCCCCCCCCCOCCOO
C17H14O4,CCCCCCCCCCCCOCCCCOO
C17H14O6,CCCCCCCCCCCCCCOCOCOOO
C10H12O5,CCCCCCCCCOOOO
C14H18O6,CCCCCCCOCCCCCCOOOO
C11H14O5,COCCCCCCCCCOOO
C17H14O4,CCCCCCCCCCCCOCCCCOO
C17H14O4,CCCCCCCCCCCCOCCCCOO
C11H10O6,CCCCCCCCCOOCOOO
C16H16O5,CCCCCCCCCCCCCCCOOOO
C16H16O5,CCCCCCCCCCCCCCCOOOO
C14H14O4,CCCCCCCCCOOCCCCO
C17H18O4,CCCCCCCCCOOCCCCCCCO
C26H22O9,CCCCCCCCOCCCOCCCCOCCOCCCCCCCOOCOO
C16H16O7,CCCCCCCCCCCCCCCOOOOOO
C17H18O8,CCCCCCCCOOOCCCCCCCCOOOO
C20H20O6,CCCCCCCCCOCOCCCCCCCCOOCO
C16H14O5,CCCCCCCCOCCCCCCCOOO
C16H14O5,CCCCCCCCOCCCCCCCOOO
C16H14O4,CCCCCCCCCCCCCCCOOO
C21H20O6,CCCCCCCCCOCCOCCCCCCCCOOCO
C20H18O5,CCCCCCCCCOCCOCCCCCCCCOO
C16H16O5,CCCCCCCCCOCCCCCCOOO
C16H18O3,CCCCCCCCCCCCCCCOO
C16H14O3,CCCCCCCCCOCCCCCCO
C17H22O9,CCCCCCCCCOOCCCCCCOOCOOOO
C28H32O17,CCCCCCCCCOCCCCCCOOOOCCCCCOCOOOOCCCCCOCOOOOO
C17H18O8,CCCCCCCCCOOCCCCCCOCOOOO
C11H12O4,CCCCCCCCCOCOO
C18H18O4,CCCCCCCCCCCCCCCCCOOO
C21H22O6,CCCCCCCCCOCCCCCCCCCCOCOOO
C21H20O6,CCCCCCCCCOCCCCCCCCCCOCOOO
C18H14O6,CCCCCCCCCCCOCCOCCCCOOO
C15H16O5,CCCCCCCCCCCCCCOOOO
C19H16O5,CCCCCCCCCOCCCCCCCCOCOO
C17H14O5,CCCCCCCCCOCCCCCCOCOO
C18H16O6,CCCCCCCCCCCOCCOCCCCOOO
C16H16O5,CCCCCCCCCCCCCCOCOOO
C16H18O5,CCCCCCCCCCCCCCOOCOO
C15H16O5,CCCCCCCCCCCCCCOOOO
C16H14O7,CCCCCCCCCCCCCCCOOOOOO
C17H18O4,CCCCCCCCCCCCCCCCOOO
C16H14O6,CCCCCCCCCOCCCCCCOOOO
C21H26O6,CCCCCCCCCCCOCCCCCCCCOCOOO
C22H24O6,CCCCCCCCCOCCOCCCCOCCCCCCOO
C29H26O8,CCCCCCCCCOCCCCCCCCOOCCOCCCCCCCCOOCO
C20H20O8,CCCCCCCCCOOOCCCCCCCCCOOOCO
C16H16O5,CCCCCCCOCCCCCCCCOOO
C14H12O5,CCCCCCCCCCCOCCOOO
C16H14O5,CCCCCCCCCCCCCCOCOOO
C19H18O5,CCCCCCCCCOCCCCCCCCOOCO
C25H30O13,CCCCCCCCCOOCCCCOCCCCOCOOCCCCCOCOOOOO
C12H16O6,CCCCCCCCCCOOCOOO
C11H14O6,CCCCCCCCCCOOOOO
C11H16O5,CCCCCCCCCCOOOO
C11H14O6,CCCCCCCCCOOCOOO
C21H20O6,CCCCCCCCCCCOCCCCCCCCOOCOO
C37H50O21,CCCCCCCCOCCCCCOCOCOCCCCCCCCOOCOOCCCCCOCOOOOCCCCCOCOOOOOO
C20H18O6,CCCCCCCCCCOCOCCCCCCCOCOO
C18H22O6,CCCCCCCCOCCCCCCCOOCOCO
C22H24O11,CCCCCCCCCOCCCCCCOOCCCCCOCOOOOOO
C25H30O13,CCCCCCCCCOOCCCCOCCCCOCOOCCCCCOCOOOOO
C12H14O4,CCCCCCCCCCCOOO
C18H20O5,CCCCCCCCCCCCCCCOOCOCO
C17H20O9,CCCCCCCCCOOCCCCCCOOCOOOO
C22H28O10,CCCCCCCCOCCCCCCCOOCCCCCOCOOOOO
C15H16O5,CCCCCCCCCCCCCCOOOO
C17H14O6,CCCCCCCCCOCCOCCCCOOCO
C30H26O8,CCCCCCCCCCOCCCCCCCCCCCCOOOCCCCCCCOOO
C26H32O11,CCCCCCCCCCOCOCCCCCCCOCCCCCOCOOOOOCO
C26H30O14,CCCCCCCCCOOCCCCCCCOCCCOOOCCCCCOCOOOOOO
C26H32O12,CCCCCCCCCOCCCOOCCCCCOCOOOOCCCCCCOOCO
C22H30O14,CCCCCCCCCOOCCCCCOCOOOOCCCCCOCOOOOO
C20H14O4,CCCCCCCCCOCCOCCCCCCCCO
C20H14O4,CCCCCCCCCOCCOCCCCCCCCO
C16H20O9,CCCCCCCCCOOCCCCCCOOOOOO
C26H32O12,CCCCCCCCCOCCCOOCCCCCOCOOOOCCCCCCOOCO
C16H16O7,CCCCCCCCCCCCCCCOOOOOO
C16H14O6,CCCCCCCCOCCCCCCCOOOO
C21H20O11,CCCCCCCCCOOCCOOCCCCCCCCOOCOOOO
C26H30O14,CCCCCCCCCOOCCCCCCCOCCCOOOCCCCCOCOOOOOO
C17H20O9,CCCCCCCCCOOCCCCCCOOCOOOO
C16H20O9,CCCCCCCCCOOCCCCCCOOOOOO
C25H24O10,CCCCCCCCOCCOCCCCCCCOCCCCCCOOOOCOO
C15H14O6,CCCCCCCCCCCOCCOCOOO
C12H12O4,CCCCCCCCCCOOCO
C16H14O5,CCCCCCCCCOOCCCCCCOO
C20H24O6,CCCCCCCCCOCCCOCCCCCCOOCO
C19H20O4,CCCCCCCCCCCCCCCCCCOOO
C16H16O4,CCCCCCCCCCCCCOOCCO
C34H30O15,CCCCCCCCCOCCCCCCOOOOCOCOCCCCCCCCCOCCCCCCOOOOCOO
C11H10O4,CCCCCCCCCCOOO
C11H10O3,CCCCCCCCCCOO
C22H22O12,CCCCCCCCCOCCCCCCOOCCCCCOCOOOOOOO
C10H12O5,CCCCCCCCCOOOO
C10H10O5,CCCCCCCCCOOOO
C21H18O6,CCCCCCCCCOCCCCCCCCCCOCOOO
C22H24O11,CCCCCCCCCOCCOCCCCOCCCCCOCOOOOOO
C28H34O16,CCCCCCCCCOCCCCCCOCCCCCOCOOOOOCCCCCOCOOOOOO
C22H24O11,CCCCCCCCCOCCCCCCOCCCCCOCOOOOOOO
C25H20O8,CCCCCCCCCOOCCCCCOCCOCCCCCCOCCOO
C25H22O7,CCCCCCCCCCCCCCCOOCOCCCCCCCCOOO
C25H22O8,CCCCCCCCCOOCCCCCCOCOCCCCCCCCOOO
C16H12O3,CCCCCCCCCOCCCCCCO
C16H18O3,CCCCCCCCCOCCCCCCO
C20H22O4,CCCCCCCCCOOCCCCCCCCCCO
C16H16O5,CCCCCCCCCCCCCCOOCOO
C11H12O5,CCCCCCCCOCOOCO
C22H24O11,CCCCCCCCCOCCCCCCOCCCCCOCOOOOOOO
C21H20O7,CCCCCCCCCCCCCOCCCCOCOCOOCO
C20H18O7,CCCCCCCCCCCCCOCCCCOCOCOOO
C18H22O9,CCCCCCCCCOOCCCCCCOOCOOCOO
C18H20O5,CCCCCCCCCCCCCCCOCCOOO
C31H40O16,CCCCCCCCOCCCCCOCOOCOCCCCCCCCOOCOCCCCCOCOOOOOO
C24H26O13,CCCCCCCCCOCCCCCCOOCCCCCOCOOOOOCOOCO
C16H16O5,CCCCCCCCCOCCCCCCOOO
C16H14O5,CCCCCCCCCOOCCCCCCOO
C21H20O6,CCCCCCCCCCCOCCCCCCCCOOCOO
C12H12O4,CCCCCCCCCCCOOO
C20H20O8,CCCCCCCCCOOOCOCCCCCCCCOOCO
C22H24O11,CCCCCCCCCOCCCCCCOCCCCCOCOOOOOOO
C15H14O4,CCCCCCCCOCCCCCCOO
C13H14O4,CCCCCCCCCCCOOCO
C12H12O6,CCCCCCCCCOCCOOOO
C12H14O5,CCCCCCCCCCCOOOO
C12H14O5,CCCCCCCCCCOCOOO
C13H16O4,CCCCCCCCCCCCOOO
C10H12O5,CCCCCCCCCOOOO
C12H14O4,CCCCCCCCCCCOOO
C11H12O6,CCCCCCCCCOOCOOO
C12H14O4,CCCCCCCCCCCOOO
C13H16O4,CCCCCCCCCCCCOOO
C10H12O5,CCCCCCCCCOOOO
C11H14O5,CCCCCCCCCOOCOO
C12H12O5,CCCCCCCCCOCCOOO
C11H12O4,CCCCCCCCCCOOO
C17H14O6,CCCCCCCCCCCCCCCOCOOOO
C21H22O6,CCCCCCCCCOCCOCCCCCCCCOCOO
C80H80O32,CCCCCCCCCOOCCCCCCCCCOOCOOOCOCCCCCCCCCOOCCCCCCCCOOCOOOCCOCCCCCCCCCOOCCCCCCCCCOOCOOOCCCCCCCCCOOOCOCCCCCCCCOOCOCO
C91H92O38,CCCCCCCCCOOCOCOCCCCCCCCCOOOCOCCCCCCCCCOOOCOCCCCCCOCCCOOCOCCCCCCCCCOOOCOCCCCCCOCCCOOOCCCCCCOCOCCCOOCCCCCCOCOCCCOOCCCCCCCCCOOCOOO
C30H28O8,CCCCCCCCCCCCCCOOOCOCCCCCCCCCCCCCCOOO
C20H24O6,CCCCCCCCCOCCCOCCCCCCOOCO
C13H12O5,CCCCCCCCCCCOCOOO
C11H14O5,CCCCCCCOCCCOOO
C25H30O13,CCCCCCCCCOOCCCCOCCCCOCOOCCCCCOCOOOOO
