Compound_CID,Molecular_Weight,Molecular_Formula,SMILES,IUPAC_Name,Linked_PubChem_Literature_Count,Linked_PubChem_Patent_Count
175608112,340.5,C19H32O5,CCCCCC(CC(=O)CCC1=CC(=C(C=C1)OC)O)O.CCO,ethanol;5-hydroxy-1-(3-hydroxy-4-methoxyphenyl)decan-3-one,0,0
175575219,300.26,C16H12O6,COC1=C(C=C(C=C1)C2=C(C3=C(C=C(C=C3)O)OC2=O)O)O,"4,7-dihydroxy-3-(3-hydroxy-4-methoxyphenyl)chromen-2-one",0,0
175572054,342.3,C19H18O6,COC1=C(C=C(C=C1)C=C2C(COC2=O)C3=C(C(=CC=C3)OC)O)O,4-(2-hydroxy-3-methoxyphenyl)-3-[(3-hydroxy-4-methoxyphenyl)methylidene]oxolan-2-one,0,0
175520671,678.6,C34H30O15,COC1=C(C=C(C=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC)O.COC1=C(C=C(C=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC)O.O,"5,7-dihydroxy-2-(3-hydroxy-4-methoxyphenyl)-3-methoxychromen-4-one;hydrate",0,0
175504031,346.4,C20H26O5,CCC(C1=CC=C(C=C1)OC)(C(CCC2=CC(=C(C=C2)OC)O)O)O,"1-(3-hydroxy-4-methoxyphenyl)-4-(4-methoxyphenyl)hexane-3,4-diol",0,0
175504030,346.4,C20H26O5,COC1=CC=C(C=C1)CCCC(CCC2=CC(=C(C=C2)OC)O)(O)O,"1-(3-hydroxy-4-methoxyphenyl)-6-(4-methoxyphenyl)hexane-3,3-diol",0,0
175503354,364.3,C18H20O8,CC(C1=CC(=C(C=C1)OC)O)C2=CC(=O)C3=C(O2)C(C(C(C3O)O)O)O,"5,6,7,8-tetrahydroxy-2-[1-(3-hydroxy-4-methoxyphenyl)ethyl]-5,6,7,8-tetrahydrochromen-4-one",0,0
175490077,290.27,C15H14O6,COC1=C(C=C(C=C1)C=CC2=C(C(=O)C=C(O2)CO)O)O,3-hydroxy-2-[2-(3-hydroxy-4-methoxyphenyl)ethenyl]-6-(hydroxymethyl)pyran-4-one,0,0
175453518,316.3,C17H16O6,COC1=C(C=C(C=C1)/C=C/C(=O)C2=C(C=C(C=C2OC)O)O)O,"(E)-1-(2,4-dihydroxy-6-methoxyphenyl)-3-(3-hydroxy-4-methoxyphenyl)prop-2-en-1-one",0,0
175425904,350.4,C22H22O4,CC(C1=CC(=C(C=C1)OC)O)C2=C(C=CC(=C2O)OC)C3=CC=CC=C3,2-[1-(3-hydroxy-4-methoxyphenyl)ethyl]-6-methoxy-3-phenylphenol,0,0
175425901,350.4,C22H22O4,CC(C1=CC(=C(C=C1)OC)O)C2=C(C=CC(=C2OC)O)C3=CC=CC=C3,3-[1-(3-hydroxy-4-methoxyphenyl)ethyl]-2-methoxy-4-phenylphenol,0,0
175363660,316.3,C18H20O5,CCC(CC1=CC(=C(C=C1)OC)O)C(=O)C2=C(C=C(C=C2)O)O,"1-(2,4-dihydroxyphenyl)-2-[(3-hydroxy-4-methoxyphenyl)methyl]butan-1-one",0,0
175355734,234.25,C13H14O4,COC1=C(C=C(C=C1)C=C2CC(=O)CCO2)O,2-[(3-hydroxy-4-methoxyphenyl)methylidene]oxan-4-one,0,0
175355733,234.25,C13H14O4,COC1=C(C=C(C=C1)/C=C/2\CC(=O)CCO2)O,(2E)-2-[(3-hydroxy-4-methoxyphenyl)methylidene]oxan-4-one,0,0
