Compound_CID,Molecular_Weight,Molecular_Formula,SMILES,IUPAC_Name,Linked_PubChem_Literature_Count,Linked_PubChem_Patent_Count,Modified_Formula,Matched_Y_CID
172011886,226.23,C11H14O5,C1C(C(C(C(O1)C2=CC=C(C=C2)O)O)O)O,"2-(4-hydroxyphenyl)oxane-3,4,5-triol",1,0,C11H14O6,18793704.0
171990333,336.4,C21H20O4,CC(C)C\1=C(C(=O)O/C1=C/C2=CC=C(C=C2)O)CC3=CC=C(C=C3)O,(5E)-3-[(4-hydroxyphenyl)methyl]-5-[(4-hydroxyphenyl)methylidene]-4-propan-2-ylfuran-2-one,1,0,C21H20O5,22239525.0
171934171,296.27,C14H16O7,C1=CC(=CC=C1/C=C/C(=O)OC2[C@H]([C@@H]([C@H](O2)CO)O)O)O,"[(3S,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl] (E)-3-(4-hydroxyphenyl)prop-2-enoate",1,0,C14H16O8,176177.0
171665826,316.3,C18H20O5,CC(=O)C1(CC(=CC(C1)(C(=O)C)O)C=CC2=CC=C(C=C2)O)O,"1-[5-acetyl-1,5-dihydroxy-3-[2-(4-hydroxyphenyl)ethenyl]cyclohex-3-en-1-yl]ethanone",1,0,C18H20O6,122777.0
152764870,292.33,C16H20O5,COC1(CC(=CC(C1)(O)OC)C=CC2=CC=C(C=C2)O)O,"5-[2-(4-hydroxyphenyl)ethenyl]-1,3-dimethoxycyclohex-4-ene-1,3-diol",1,0,C16H20O6,11289801.0
171663339,362.5,C24H26O3,CC1=CC[C@@H]2[C@@H](C1)C3=C(C=C(C=C3OC2(C)C)O)/C=C/C4=CC=C(C=C4)O,"(6aR,10aR)-1-[(E)-2-(4-hydroxyphenyl)ethenyl]-6,6,9-trimethyl-6a,7,10,10a-tetrahydrobenzo[c]chromen-3-ol",1,0,C24H26O4,641730.0
171663338,362.5,C24H26O3,CC1=CC[C@@H]2[C@@H](C1)C3=C(C=C(C=C3OC2(C)C)/C=C/C4=CC=C(C=C4)O)O,"(6aR,10aR)-3-[(E)-2-(4-hydroxyphenyl)ethenyl]-6,6,9-trimethyl-6a,7,10,10a-tetrahydrobenzo[c]chromen-1-ol",1,0,C24H26O4,641730.0
171393850,340.4,C20H20O5,CCC/C=C/C1(CC(=O)C2=C(C=C(C=C2O1)O)O)C3=CC=C(C=C3)O,"5,7-dihydroxy-2-(4-hydroxyphenyl)-2-[(E)-pent-1-enyl]-3H-chromen-4-one",1,0,C20H20O6,71406115.0
171378111,338.4,C21H22O4,CC(=CCC1=CC(=C(C=C1O)OC)C=CC(=O)C2=CC=C(C=C2)O)C,3-[4-hydroxy-2-methoxy-5-(3-methylbut-2-enyl)phenyl]-1-(4-hydroxyphenyl)prop-2-en-1-one,1,0,C21H22O5,10338211.0
171358848,316.3,C18H20O5,COC1=C(C(=CC2=C1C[C@H](CO2)CC3=CC=C(C=C3)O)O)OC,"(3R)-3-[(4-hydroxyphenyl)methyl]-5,6-dimethoxy-3,4-dihydro-2H-chromen-7-ol",1,0,C18H20O6,122777.0
171358413,316.3,C18H20O5,COC1=C(C(=CC2=C1CC(CO2)CC3=CC=C(C=C3)O)O)OC,"3-[(4-hydroxyphenyl)methyl]-5,6-dimethoxy-3,4-dihydro-2H-chromen-7-ol",1,0,C18H20O6,122777.0
171358318,322.4,C20H18O4,CC(=CCC1=C(C=CC2=C1O/C(=C\C3=CC=C(C=C3)O)/C2=O)O)C,(2Z)-6-hydroxy-2-[(4-hydroxyphenyl)methylidene]-7-(3-methylbut-2-enyl)-1-benzofuran-3-one,1,0,C20H18O5,53262867.0
171354614,364.5,C24H28O3,C[C@@]12CCCC([C@@H]1CC3=C(C=C(C=C3O2)/C=C/C4=CC=C(C=C4)O)O)(C)C,"(8aS,10aR)-3-[(E)-2-(4-hydroxyphenyl)ethenyl]-8,8,10a-trimethyl-6,7,8a,9-tetrahydro-5H-xanthen-1-ol",1,0,C24H28O4,69344853.0
171354541,906.9,C56H42O12,C1=CC(=C2[C@H]([C@@H](OC2=C1)C3=CC=C(C=C3)O)C4=CC(=CC(=C4)O)O)[C@@H]5[C@H](OC6=CC(=CC(=C56)[C@H]7[C@@H](OC8=CC(=CC(=C78)/C=C/C9=CC(=C(C=C9)O)O)O)C1=CC=C(C=C1)O)O)C1=CC=C(C=C1)O,"4-[(E)-2-[(2R,3R)-3-[(2S,3S)-3-[(2R,3R)-3-(3,5-dihydroxyphenyl)-2-(4-hydroxyphenyl)-2,3-dihydro-1-benzofuran-4-yl]-6-hydroxy-2-(4-hydroxyphenyl)-2,3-dihydro-1-benzofuran-4-yl]-6-hydroxy-2-(4-hydroxyphenyl)-2,3-dihydro-1-benzofuran-4-yl]ethenyl]benzene-1,2-diol",1,0,C56H42O13,101157338.0
171354232,376.4,C20H24O7,COC1=C(C=CC(=C1)[C@H]2[C@H]([C@@H](C[C@H](O2)[C@H](CC3=CC=C(C=C3)O)O)O)O)O,"(2S,3S,4R,6S)-6-[(1S)-1-hydroxy-2-(4-hydroxyphenyl)ethyl]-2-(4-hydroxy-3-methoxyphenyl)oxane-3,4-diol",1,0,C20H24O8,11234737.0
171353806,364.5,C24H28O3,CC1=CCCC([C@H]1CC2=C(C=C(C=C2O)/C=C/C3=CC=C(C=C3)O)O)(C)C,"5-[(E)-2-(4-hydroxyphenyl)ethenyl]-2-[[(1R)-2,6,6-trimethylcyclohex-2-en-1-yl]methyl]benzene-1,3-diol",1,0,C24H28O4,69344853.0
171353647,306.4,C20H18O3,COC1=CC=C(C=C1)/C=C/C=C/C(=O)/C=C/C2=CC=C(C=C2)O,"(1E,4E,6E)-1-(4-hydroxyphenyl)-7-(4-methoxyphenyl)hepta-1,4,6-trien-3-one",1,0,C20H18O4,10314035.0
171352790,364.5,C24H28O3,CC1=CCCC([C@@H]1CC2=C(C=C(C=C2O)/C=C/C3=CC=C(C=C3)O)O)(C)C,"5-[(E)-2-(4-hydroxyphenyl)ethenyl]-2-[[(1S)-2,6,6-trimethylcyclohex-2-en-1-yl]methyl]benzene-1,3-diol",1,0,C24H28O4,69344853.0
171352259,316.3,C18H20O5,COC1=C(C(=CC2=C1C[C@@H](CO2)CC3=CC=C(C=C3)O)O)OC,"(3S)-3-[(4-hydroxyphenyl)methyl]-5,6-dimethoxy-3,4-dihydro-2H-chromen-7-ol",1,0,C18H20O6,122777.0
171351864,378.4,C20H26O7,COC1=C(C=CC(=C1)[C@H]([C@H]([C@H](C[C@@H](CCC2=CC=C(C=C2)O)O)O)O)O)O,"(1R,2S,3S,5R)-1-(4-hydroxy-3-methoxyphenyl)-7-(4-hydroxyphenyl)heptane-1,2,3,5-tetrol",1,0,C20H26O8,24843324.0
171351339,316.3,C18H20O5,COC1=C(C(=C2CC(COC2=C1)CC3=CC=C(C=C3)O)O)OC,"3-[(4-hydroxyphenyl)methyl]-6,7-dimethoxy-3,4-dihydro-2H-chromen-5-ol",1,0,C18H20O6,122777.0
171350918,348.4,C22H20O4,COC1=CC(=CC2=C1C(C3=C(CC2)C=C(C=C3)O)C4=CC=C(C=C4)O)O,"2-(4-hydroxyphenyl)-4-methoxytricyclo[9.4.0.03,8]pentadeca-1(11),3(8),4,6,12,14-hexaene-6,13-diol",1,0,C22H20O5,20072559.0
171350195,316.3,C18H20O5,COC1=C2C[C@H](COC2=C(C(=C1)O)OC)CC3=CC=C(C=C3)O,"(3R)-3-[(4-hydroxyphenyl)methyl]-5,8-dimethoxy-3,4-dihydro-2H-chromen-7-ol",1,0,C18H20O6,122777.0
171349750,306.4,C17H22O5,C/C=C(/C=O)\[C@H](CC(=O)OCCC1=CC=C(C=C1)O)COC,"2-(4-hydroxyphenyl)ethyl (E,3S)-4-formyl-3-(methoxymethyl)hex-4-enoate",1,0,C17H22O6,44148465.0
171349564,316.4,C19H24O4,C[C@@]12C[C@H]([C@@H](C1(C)C)C[C@@H]2OC(=O)/C=C/C3=CC=C(C=C3)O)O,"[(1R,2S,4R,5R)-5-hydroxy-1,7,7-trimethyl-2-bicyclo[2.2.1]heptanyl] (E)-3-(4-hydroxyphenyl)prop-2-enoate",1,0,C19H24O5,636849.0
171348238,330.4,C19H22O5,C1[C@H](C[C@@H](O[C@@H]1CCC2=CC=C(C=C2)O)C3=CC(=C(C=C3)O)O)O,"4-[(2R,4R,6R)-4-hydroxy-6-[2-(4-hydroxyphenyl)ethyl]oxan-2-yl]benzene-1,2-diol",1,0,C19H22O6,9841162.0
171347187,316.3,C18H20O5,COC1=C(C2=C(CC(CO2)CC3=CC=C(C=C3)O)C(=C1)O)OC,"3-[(4-hydroxyphenyl)methyl]-7,8-dimethoxy-3,4-dihydro-2H-chromen-5-ol",1,0,C18H20O6,122777.0
171346992,316.3,C18H20O5,COC1=C(C(=C2CC(COC2=C1)CC3=CC=C(C=C3)O)OC)O,"3-[(4-hydroxyphenyl)methyl]-5,7-dimethoxy-3,4-dihydro-2H-chromen-6-ol",1,0,C18H20O6,122777.0
171345956,906.9,C56H42O12,C1=CC(=CC=C1[C@@H]2[C@H]3[C@@H]([C@H](C4=C(C=C(C=C4O)O)[C@H]5[C@@H](OC6=CC(=CC3=C56)O)C7=CC=C(C=C7)O)C8=CC=C(C=C8)O)C9=C1[C@@H]([C@H](OC1=CC(=C9)O)C1=CC=C(C=C1)O)C1=C2C(=CC(=C1)O)O)O,"(2R,3S,10S,11S,18S,19S,26R,27R)-3,11,19,27-tetrakis(4-hydroxyphenyl)-12,28-dioxaoctacyclo[24.6.1.110,13.02,18.04,9.020,25.029,33.017,34]tetratriaconta-1(33),4(9),5,7,13,15,17(34),20(25),21,23,29,31-dodecaene-5,7,15,21,23,31-hexol",1,0,C56H42O13,101157338.0
171344231,330.4,C19H22O5,C1[C@H](C[C@H](O[C@H]1CCC2=CC=C(C=C2)O)C3=CC(=C(C=C3)O)O)O,"4-[(2S,4R,6S)-4-hydroxy-6-[2-(4-hydroxyphenyl)ethyl]oxan-2-yl]benzene-1,2-diol",1,0,C19H22O6,9841162.0
171343130,316.3,C18H20O5,COC1=CC(=C(C2=C1CC(CO2)CC3=CC=C(C=C3)O)O)OC,"3-[(4-hydroxyphenyl)methyl]-5,7-dimethoxy-3,4-dihydro-2H-chromen-8-ol",1,0,C18H20O6,122777.0
171127129,280.3,C18H16O3,C/C=C/C1=CC(=C(C=C1)O)C(=O)/C=C/C2=CC=C(C=C2)O,(E)-3-(4-hydroxyphenyl)-1-[2-hydroxy-5-[(E)-prop-1-enyl]phenyl]prop-2-en-1-one,1,0,C18H16O4,67990809.0
171127124,244.28,C15H16O3,CC1(CC(=CC(=C1)O)C=CC2=CC=C(C=C2)O)O,"5-[2-(4-hydroxyphenyl)ethenyl]-3-methylcyclohexa-1,5-diene-1,3-diol",1,0,C15H16O4,656695.0
171115312,394.4,C20H26O8,COC1=C(C=CC(=C1)C(C(C(CC(C(CC2=CC=C(C=C2)O)O)O)O)O)O)O,"1-(4-hydroxy-3-methoxyphenyl)-7-(4-hydroxyphenyl)heptane-1,2,3,5,6-pentol",2,0,C20H26O9,70817877.0
171115280,316.3,C17H16O6,COC1=CC(=C2C(=C1)OC[C@@](C2=O)(CC3=CC=C(C=C3)O)O)O,"(3R)-3,5-dihydroxy-3-[(4-hydroxyphenyl)methyl]-7-methoxy-2H-chromen-4-one",1,0,C17H16O7,132556727.0
171115157,274.27,C15H14O5,COC1=C(C(=C(C=C1)C(=O)C2=CC=C(C=C2)O)O)OC,"(2-hydroxy-3,4-dimethoxyphenyl)-(4-hydroxyphenyl)methanone",1,0,C15H14O6,90356439.0
171114920,442.5,C24H26O8,CC/C(=C(/C=C)\C1=CC=C(C=C1)O)/C2=CC=C(C=C2)OC3C(C(C(C(O3)C(=O)O)O)O)O,"3,4,5-trihydroxy-6-[4-[(3E)-4-(4-hydroxyphenyl)hexa-3,5-dien-3-yl]phenoxy]oxane-2-carboxylic acid",1,0,C24H26O9,58676260.0
171114917,442.5,C24H26O8,C/C=C(\C1=CC=C(C=C1)O)/C(=C/C)/C2=CC=C(C=C2)OC3C(C(C(C(O3)C(=O)O)O)O)O,"3,4,5-trihydroxy-6-[4-[(2E,4E)-4-(4-hydroxyphenyl)hexa-2,4-dien-3-yl]phenoxy]oxane-2-carboxylic acid",1,0,C24H26O9,58676260.0
170995374,528.6,C32H32O7,CC(=CCC1=C(C(=C(C2=C1OC(=C(C2=O)CC=C(C)C)C3=C(C=C(C=C3)O)O)O)CC4=CC=C(C=C4)O)O)C,"2-(2,4-dihydroxyphenyl)-5,7-dihydroxy-6-[(4-hydroxyphenyl)methyl]-3,8-bis(3-methylbut-2-enyl)chromen-4-one",1,0,C32H32O8,44235857.0
170995353,470.5,C29H26O6,COC1=C(C(=C2C(=C1CC3=CC=C(C=C3)O)C=CC4=C2C(=O)CCC4O)O)CC5=CC=C(C=C5)O,"1,5-dihydroxy-6,8-bis[(4-hydroxyphenyl)methyl]-7-methoxy-2,3-dihydro-1H-phenanthren-4-one",1,0,C29H26O7,101778672.0
170990332,356.4,C20H20O6,CC1=C(OC2=C(C(=CC(=C12)OC)C3=CC=C(C=C3)O)OC)CC(=O)OC,"methyl 2-[6-(4-hydroxyphenyl)-4,7-dimethoxy-3-methyl-1-benzofuran-2-yl]acetate",1,0,C20H20O7,59085144.0
170990330,420.5,C26H28O5,CC(=CCC1=C(C=CC(=C1)C2=CC(=C(C(=C2OC)O)C3=CC=C(C=C3)O)OC)OC)C,"2-(4-hydroxyphenyl)-3,6-dimethoxy-5-[4-methoxy-3-(3-methylbut-2-enyl)phenyl]phenol",1,0,C26H28O6,10365742.0
170990001,268.31,C17H16O3,C1[C@H]([C@@H](C(=O)O1)C2=CC=CC=C2)CC3=CC=C(C=C3)O,"(3R,4S)-4-[(4-hydroxyphenyl)methyl]-3-phenyloxolan-2-one",1,0,C17H16O4,16113498.0
170989631,310.3,C18H14O5,COC1=C(C(=O)[C@](C1=O)(C2=CC=CC=C2)O)C3=CC=C(C=C3)O,"(2S)-2-hydroxy-4-(4-hydroxyphenyl)-5-methoxy-2-phenylcyclopent-4-ene-1,3-dione",1,0,C18H14O6,15897027.0
170989630,310.3,C18H14O5,COC1=C(C(=O)[C@@](C1=O)(C2=CC=CC=C2)O)C3=CC=C(C=C3)O,"(2R)-2-hydroxy-4-(4-hydroxyphenyl)-5-methoxy-2-phenylcyclopent-4-ene-1,3-dione",1,0,C18H14O6,15897027.0
170989518,260.24,C14H12O5,C1=CC(=CC=C1[C@@H](C(=O)C2=C(C=C(C=C2)O)O)O)O,"(2S)-1-(2,4-dihydroxyphenyl)-2-hydroxy-2-(4-hydroxyphenyl)ethanone",1,0,C14H12O6,19385273.0
170989091,196.2,C10H12O4,C[C@H](C1=CC=C(C=C1)O)[C@@H](C(=O)O)O,"(2S,3R)-2-hydroxy-3-(4-hydroxyphenyl)butanoic acid",1,0,C10H12O5,4633871.0
