Compound_CID,Molecular_Weight,Molecular_Formula,SMILES,IUPAC_Name,Linked_PubChem_Literature_Count,Linked_PubChem_Patent_Count,Modified_Formula,Matched_Y_CID
172430989,416.4,C21H20O9,C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3C4[C@@H](C([C@H](C(O4)CO)O)O)O)O)O,"7-hydroxy-3-(4-hydroxyphenyl)-8-[(3R,5R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]chromen-4-one",5,0,C21H20O10,
172418580,596.5,C27H32O15,CC1(C(C(C(C(O1)O[C@H]2[C@H](O[C@@H]([C@@H](C2O)O)CO)O)O)O)O)C3(CC(=O)C4=C(C=C(C=C4O3)O)O)C5=CC=C(C=C5)O,"5,7-dihydroxy-2-(4-hydroxyphenyl)-2-[3,4,5-trihydroxy-2-methyl-6-[(2S,3R,5R,6R)-2,4,5-trihydroxy-6-(hydroxymethyl)oxan-3-yl]oxyoxan-2-yl]-3H-chromen-4-one",1,0,C27H32O16,
171920558,286.24,C15H10O6,C1=CC(=CC=C1C2=C(C3=CC(=C(C=C3OC2=O)O)O)O)O,"4,6,7-trihydroxy-3-(4-hydroxyphenyl)chromen-2-one",2,0,C15H10O7,
171714727,448.4,C21H20O11,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)[C@]4([C@H]([C@@H]([C@H](C(O4)O)O)O)O)CO)O,"5,7-dihydroxy-2-(4-hydroxyphenyl)-3-[(2R,3S,4S,5R)-3,4,5,6-tetrahydroxy-2-(hydroxymethyl)oxan-2-yl]chromen-4-one",1,0,C21H20O12,
171394274,518.4,C24H22O13,C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)O[C@H]4C([C@H](C([C@H](O4)COC(=O)CC(=O)O)O)O)O)O)O,"3-oxo-3-[[(2R,4S,6S)-3,4,5-trihydroxy-6-[5-hydroxy-2-(4-hydroxyphenyl)-4-oxochromen-7-yl]oxyoxan-2-yl]methoxy]propanoic acid",2,0,C24H22O14,
171390903,596.5,C27H32O15,C1[C@@H](OC2=C(C(=C(C(=C2C1=O)O)C3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O)C4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)C5=CC=C(C=C5)O,"(2R)-5,7-dihydroxy-2-(4-hydroxyphenyl)-6,8-bis[(3R,4R,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]-2,3-dihydrochromen-4-one",1,0,C27H32O16,
171383615,276.24,C14H12O6,C1=CC(=CC=C1COC2=C(C=C(C=C2O)C(=O)O)O)O,"3,5-dihydroxy-4-[(4-hydroxyphenyl)methoxy]benzoic acid",1,0,C14H12O7,
171378089,286.24,C15H10O6,C1=CC(=CC=C1[C@]23[C@@H](O2)C(=O)C4=C(C=C(C=C4O3)O)O)O,"(1aS,7aS)-4,6-dihydroxy-1a-(4-hydroxyphenyl)-7aH-oxireno[2,3-b]chromen-7-one",1,0,C15H10O7,
171364145,771.7,C37H39O18+,COC1=C(C=CC(=C1)C2=C(C=C3C(=CC(=CC3=[O+]2)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)COC(=O)/C=C/C6=CC=C(C=C6)O)O)O)O)O,"[(2R,3S,4S,5R,6S)-3,4,5-trihydroxy-6-[7-hydroxy-2-(4-hydroxy-3-methoxyphenyl)-5-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromenylium-3-yl]oxyoxan-2-yl]methyl (E)-3-(4-hydroxyphenyl)prop-2-enoate",1,0,C37H39O19+,
171357671,492.5,C25H32O10,C1[C@H](C[C@@H](O[C@@H]1CCC2=CC=C(C=C2)O)C3=CC(=C(C=C3)O)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O,"(2R,3R,4S,5S,6R)-2-[(2R,4R,6R)-2-(3,4-dihydroxyphenyl)-6-[2-(4-hydroxyphenyl)ethyl]oxan-4-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol",1,0,C25H32O11,
171357156,514.5,C29H22O9,COC(=O)[C@]1(C2=C([C@H](C(=O)C3=C1C(=CC(=C3)O)O)C4=CC=C(C=C4)O)C(=CC(=C2)O)O)C5C=CC(=O)C=C5,"methyl (2S,10R)-4,6,12,14-tetrahydroxy-10-(4-hydroxyphenyl)-9-oxo-2-(4-oxocyclohexa-2,5-dien-1-yl)tricyclo[9.4.0.03,8]pentadeca-1(11),3(8),4,6,12,14-hexaene-2-carboxylate",1,0,C29H22O10,
171356775,494.5,C25H34O10,COC1=C(C=CC(=C1)CC[C@@H](C[C@@H]([C@H](CC2=CC=C(C=C2)O)O)O)O[C@H]3[C@@H]([C@H]([C@@H](CO3)O)O)O)O,"(2S,3R,4S,5R)-2-[(3S,5S,6S)-5,6-dihydroxy-1-(4-hydroxy-3-methoxyphenyl)-7-(4-hydroxyphenyl)heptan-3-yl]oxyoxane-3,4,5-triol",1,0,C25H34O11,
171356615,598.6,C35H34O9,COC1=C(C(=C(C(=C1)O)[C@H](/C=C/C[C@H](CCC2=CC=C(C=C2)O)OO)C3=CC=C(C=C3)O)O)C(=O)/C=C/C4=CC=C(C=C4)O,"(E)-1-[3-[(E,1R,5S)-5-hydroperoxy-1,7-bis(4-hydroxyphenyl)hept-2-enyl]-2,4-dihydroxy-6-methoxyphenyl]-3-(4-hydroxyphenyl)prop-2-en-1-one",1,0,C35H34O10,
171355908,392.4,C23H20O6,C1=CC(=CC=C1[C@H]2[C@@H](OC3=C(O2)C=C(C=C3)/C=C/C4=CC(=CC(=C4)O)O)CO)O,"5-[(E)-2-[(2S,3S)-2-(hydroxymethyl)-3-(4-hydroxyphenyl)-2,3-dihydro-1,4-benzodioxin-6-yl]ethenyl]benzene-1,3-diol",1,0,C23H20O7,
171352027,416.4,C24H16O7,C1=COC(=C1)C(=O)OC2=CC(=CC(=C2)/C=C/C3=CC=C(C=C3)O)OC(=O)C4=CC=CO4,[3-(furan-2-carbonyloxy)-5-[(E)-2-(4-hydroxyphenyl)ethenyl]phenyl] furan-2-carboxylate,1,0,C24H16O8,
171351945,400.4,C21H20O8,C[C@@H]1[C@@H]([C@H](C[C@@H](O1)C2=C(C3=C(C=C2O)OC(=CC3=O)C4=CC=C(C=C4)O)O)O)O,"6-[(2R,4S,5R,6R)-4,5-dihydroxy-6-methyloxan-2-yl]-5,7-dihydroxy-2-(4-hydroxyphenyl)chromen-4-one",1,0,C21H20O9,
171350819,598.6,C35H34O9,COC1=C(C(=C(C(=C1)O)[C@H]2C[C@@H](O[C@H]([C@H]2O)C3=CC=C(C=C3)O)CCC4=CC=C(C=C4)O)O)C(=O)/C=C/C5=CC=C(C=C5)O,"(E)-1-[2,4-dihydroxy-3-[(2S,3S,4R,6S)-3-hydroxy-2-(4-hydroxyphenyl)-6-[2-(4-hydroxyphenyl)ethyl]oxan-4-yl]-6-methoxyphenyl]-3-(4-hydroxyphenyl)prop-2-en-1-one",1,0,C35H34O10,
171350538,340.3,C18H12O7,C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C(=C3O2)/C=C/C(=O)O)O)O)O,"(E)-3-[5,7-dihydroxy-2-(4-hydroxyphenyl)-4-oxochromen-8-yl]prop-2-enoic acid",1,0,C18H12O8,
171345591,340.3,C18H12O7,C1=CC(=CC=C1C2=CC(=O)C3=C(O2)C=C(C(=C3O)/C=C/C(=O)O)O)O,"(E)-3-[5,7-dihydroxy-2-(4-hydroxyphenyl)-4-oxochromen-6-yl]prop-2-enoic acid",1,0,C18H12O8,
171345198,624.6,C33H36O12,C1[C@@H]([C@H]([C@@H]([C@H](O1)O[C@@H](CCC2=CC(=C(C=C2)O)O)CC(=O)CCC3=CC(=C(C=C3)O)O)OC(=O)/C=C/C4=CC=C(C=C4)O)O)O,"[(2R,3S,4R,5S)-2-[(3S)-1,7-bis(3,4-dihydroxyphenyl)-5-oxoheptan-3-yl]oxy-4,5-dihydroxyoxan-3-yl] (E)-3-(4-hydroxyphenyl)prop-2-enoate",1,0,C33H36O13,
171342909,400.4,C21H20O8,C[C@@H]1[C@H]([C@@H](C[C@@H](O1)C2=C(C=C(C3=C2OC(=CC3=O)C4=CC=C(C=C4)O)O)O)O)O,"8-[(2R,4R,5S,6R)-4,5-dihydroxy-6-methyloxan-2-yl]-5,7-dihydroxy-2-(4-hydroxyphenyl)chromen-4-one",1,0,C21H20O9,
171342566,398.4,C21H18O8,C[C@@]12[C@@H]([C@H](C[C@@H](O1)C3=C(O2)C=C4C(=C3O)C(=O)C=C(O4)C5=CC=C(C=C5)O)O)O,"(1R,13R,14R,15S)-3,14,15-trihydroxy-7-(4-hydroxyphenyl)-13-methyl-8,12,17-trioxatetracyclo[11.3.1.02,11.04,9]heptadeca-2(11),3,6,9-tetraen-5-one",1,0,C21H18O9,
171337355,478.4,C23H26O11,CC(=O)O[C@H]1[C@@H]([C@H](O[C@H]([C@@H]1O)OC2=CC(=CC(=C2C(=O)CCC3=CC=C(C=C3)O)O)O)CO)O,"[(2S,3R,4S,5R,6R)-2-[3,5-dihydroxy-2-[3-(4-hydroxyphenyl)propanoyl]phenoxy]-3,5-dihydroxy-6-(hydroxymethyl)oxan-4-yl] acetate",1,0,C23H26O12,
25202843,418.4,C21H22O9,C1=CC(=CC=C1C=CC(=O)C2=C(C=C(C=C2)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O)O,"3-(4-hydroxyphenyl)-1-[2-hydroxy-4-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyphenyl]prop-2-en-1-one",1,0,C21H22O10,
171118256,514.6,C32H34O6,CC1=CC(=O)OC2=C1C=CC(=C2)OCCCCCCCCOC3=CC(=CC(=C3)O)/C=C/C4=CC=C(C=C4)O,7-[8-[3-hydroxy-5-[(E)-2-(4-hydroxyphenyl)ethenyl]phenoxy]octoxy]-4-methylchromen-2-one,1,0,C32H34O7,
171118231,430.4,C26H22O6,CC1=CC(=O)OC2=C1C=CC(=C2)OCCOC3=CC(=CC(=C3)O)/C=C/C4=CC=C(C=C4)O,7-[2-[3-hydroxy-5-[(E)-2-(4-hydroxyphenyl)ethenyl]phenoxy]ethoxy]-4-methylchromen-2-one,1,0,C26H22O7,
171037519,326.3,C15H18O8,C1=CC(=CC=C1/C=C/C(=O)O[C@H]([C@H](C=O)O)[C@@H]([C@@H](CO)O)O)O,"[(2R,3S,4R,5R)-2,4,5,6-tetrahydroxy-1-oxohexan-3-yl] (E)-3-(4-hydroxyphenyl)prop-2-enoate",1,0,C15H18O9,
170990043,522.5,C30H18O9,C1=CC(=CC=C1C2=COC3=C(C2=O)C(=CC(=C3C4=C(C=CC(=C4)C5=COC6=C(C5=O)C=CC(=C6)O)O)O)O)O,"5,7-dihydroxy-8-[2-hydroxy-5-(7-hydroxy-4-oxochromen-3-yl)phenyl]-3-(4-hydroxyphenyl)chromen-4-one",1,0,C30H18O10,
170990042,522.5,C30H18O9,C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3C4=C(C=CC(=C4)C5=COC6=CC(=CC(=C6C5=O)O)O)O)O)O,"8-[5-(5,7-dihydroxy-4-oxochromen-3-yl)-2-hydroxyphenyl]-7-hydroxy-3-(4-hydroxyphenyl)chromen-4-one",1,0,C30H18O10,
170988595,350.3,C20H14O6,CC(=O)OC1=C(C(=O)C=C(C1=O)C2=CC=C(C=C2)O)C3=CC=C(C=C3)O,"[2,5-bis(4-hydroxyphenyl)-3,6-dioxocyclohexa-1,4-dien-1-yl] acetate",1,0,C20H14O7,
170988593,366.3,C20H14O7,CC(=O)OC1=C2C(=C(C=C1C3=CC=C(C=C3)O)O)C4=CC(=C(C=C4O2)O)O,"[1,7,8-trihydroxy-3-(4-hydroxyphenyl)dibenzofuran-4-yl] acetate",1,0,C20H14O8,
170988589,386.4,C20H18O8,COC(=O)[C@]1(C(=C(C(=O)O1)O)C2=CC=C(C=C2)O)CC3=CC(=C(C=C3)O)CO,methyl (2R)-4-hydroxy-2-[[4-hydroxy-3-(hydroxymethyl)phenyl]methyl]-3-(4-hydroxyphenyl)-5-oxofuran-2-carboxylate,1,0,C20H18O9,
170853170,516.6,C31H32O7,C1CCC(CC1)(C2=CC=C(C=C2)O)C3=CC=C(C=C3)O.C1=CC(=CC=C1C2=CC=C(C=C2)O)O.C(=O)(O)O,carbonic acid;4-[1-(4-hydroxyphenyl)cyclohexyl]phenol;4-(4-hydroxyphenyl)phenol,1,0,C31H32O8,
170853080,526.6,C29H34O9,C1=CC(=CC=C1C2=CC=C(C=C2)O)O.C1=CC(=CC=C1C(=O)O)O.C(CCCCC(=O)O)CCCC(=O)O,decanedioic acid;4-hydroxybenzoic acid;4-(4-hydroxyphenyl)phenol,1,0,C29H34O10,
