Compound_CID,Molecular_Weight,Molecular_Formula,SMILES,IUPAC_Name,Linked_PubChem_Literature_Count,Linked_PubChem_Patent_Count,Modified_Formula,Matched_Y_CID
172430989,416.4,C21H20O9,C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3C4[C@@H](C([C@H](C(O4)CO)O)O)O)O)O,"7-hydroxy-3-(4-hydroxyphenyl)-8-[(3R,5R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]chromen-4-one",5,0,C21H20O10,5321561.0
172418580,596.5,C27H32O15,CC1(C(C(C(C(O1)O[C@H]2[C@H](O[C@@H]([C@@H](C2O)O)CO)O)O)O)O)C3(CC(=O)C4=C(C=C(C=C4O3)O)O)C5=CC=C(C=C5)O,"5,7-dihydroxy-2-(4-hydroxyphenyl)-2-[3,4,5-trihydroxy-2-methyl-6-[(2S,3R,5R,6R)-2,4,5-trihydroxy-6-(hydroxymethyl)oxan-3-yl]oxyoxan-2-yl]-3H-chromen-4-one",1,0,C27H32O16,416722.0
172011886,226.23,C11H14O5,C1C(C(C(C(O1)C2=CC=C(C=C2)O)O)O)O,"2-(4-hydroxyphenyl)oxane-3,4,5-triol",1,0,C11H14O6,144422971.0
171990333,336.4,C21H20O4,CC(C)C\1=C(C(=O)O/C1=C/C2=CC=C(C=C2)O)CC3=CC=C(C=C3)O,(5E)-3-[(4-hydroxyphenyl)methyl]-5-[(4-hydroxyphenyl)methylidene]-4-propan-2-ylfuran-2-one,1,0,C21H20O5,380966.0
171934171,296.27,C14H16O7,C1=CC(=CC=C1/C=C/C(=O)OC2[C@H]([C@@H]([C@H](O2)CO)O)O)O,"[(3S,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl] (E)-3-(4-hydroxyphenyl)prop-2-enoate",1,0,C14H16O8,11023363.0
171920558,286.24,C15H10O6,C1=CC(=CC=C1C2=C(C3=CC(=C(C=C3OC2=O)O)O)O)O,"4,6,7-trihydroxy-3-(4-hydroxyphenyl)chromen-2-one",2,0,C15H10O7,5280343.0
171714727,448.4,C21H20O11,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)[C@]4([C@H]([C@@H]([C@H](C(O4)O)O)O)O)CO)O,"5,7-dihydroxy-2-(4-hydroxyphenyl)-3-[(2R,3S,4S,5R)-3,4,5,6-tetrahydroxy-2-(hydroxymethyl)oxan-2-yl]chromen-4-one",1,0,C21H20O12,124258.0
171665826,316.3,C18H20O5,CC(=O)C1(CC(=CC(C1)(C(=O)C)O)C=CC2=CC=C(C=C2)O)O,"1-[5-acetyl-1,5-dihydroxy-3-[2-(4-hydroxyphenyl)ethenyl]cyclohex-3-en-1-yl]ethanone",1,0,C18H20O6,156187.0
152764870,292.33,C16H20O5,COC1(CC(=CC(C1)(O)OC)C=CC2=CC=C(C=C2)O)O,"5-[2-(4-hydroxyphenyl)ethenyl]-1,3-dimethoxycyclohex-4-ene-1,3-diol",1,0,C16H20O6,58446471.0
171663339,362.5,C24H26O3,CC1=CC[C@@H]2[C@@H](C1)C3=C(C=C(C=C3OC2(C)C)O)/C=C/C4=CC=C(C=C4)O,"(6aR,10aR)-1-[(E)-2-(4-hydroxyphenyl)ethenyl]-6,6,9-trimethyl-6a,7,10,10a-tetrahydrobenzo[c]chromen-3-ol",1,0,C24H26O4,22035422.0
171663338,362.5,C24H26O3,CC1=CC[C@@H]2[C@@H](C1)C3=C(C=C(C=C3OC2(C)C)/C=C/C4=CC=C(C=C4)O)O,"(6aR,10aR)-3-[(E)-2-(4-hydroxyphenyl)ethenyl]-6,6,9-trimethyl-6a,7,10,10a-tetrahydrobenzo[c]chromen-1-ol",1,0,C24H26O4,22035422.0
171394274,518.4,C24H22O13,C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)O[C@H]4C([C@H](C([C@H](O4)COC(=O)CC(=O)O)O)O)O)O)O,"3-oxo-3-[[(2R,4S,6S)-3,4,5-trihydroxy-6-[5-hydroxy-2-(4-hydroxyphenyl)-4-oxochromen-7-yl]oxyoxan-2-yl]methoxy]propanoic acid",2,0,C24H22O14,443916.0
171393850,340.4,C20H20O5,CCC/C=C/C1(CC(=O)C2=C(C=C(C=C2O1)O)O)C3=CC=C(C=C3)O,"5,7-dihydroxy-2-(4-hydroxyphenyl)-2-[(E)-pent-1-enyl]-3H-chromen-4-one",1,0,C20H20O6,480765.0
