Compound_CID,Molecular_Weight,Molecular_Formula,SMILES,IUPAC_Name,Linked_PubChem_Literature_Count,Linked_PubChem_Patent_Count,Modified_Formula,Matched_Y_CID
172433032,570.7,C35H38O7,CC(=CCC/C(=C/C(=O)/C(=C(/C)\CCC=C(C)C)/C(=O)C1=C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O)/C)C,"(2E,4E)-1-[5,7-dihydroxy-2-(4-hydroxyphenyl)-4-oxochromen-3-yl]-5,9-dimethyl-2-(6-methylhept-5-en-2-ylidene)deca-4,8-diene-1,3-dione",1,0,C35H38O8,
171933556,956.9,C49H48O20,COC1=C(C=CC(=C1)/C=C/C(=O)OC[C@@H]2[C@H]([C@@H]([C@H]([C@H](O2)O[C@@]3([C@@H]([C@H]([C@@H](O3)COC(=O)/C=C/C4=CC=C(C=C4)O)O)OC(=O)/C=C/C5=CC=C(C=C5)O)COC(=O)/C=C/C6=CC=C(C=C6)O)O)O)O)O,"[(2S,3S,4R,5R)-3-hydroxy-4-[(E)-3-(4-hydroxyphenyl)prop-2-enoyl]oxy-5-[[(E)-3-(4-hydroxyphenyl)prop-2-enoyl]oxymethyl]-5-[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-[[(E)-3-(4-hydroxy-3-methoxyphenyl)prop-2-enoyl]oxymethyl]oxan-2-yl]oxyoxolan-2-yl]methyl (E)-3-(4-hydroxyphenyl)prop-2-enoate",10,0,C49H48O21,
155886165,500.6,C32H36O5,CCCCCCCC=CC(C1=CC=C(C=C1)O)C2=C(C(=C(C=C2O)OC)C(=O)C=CC3=CC=CC=C3)O,"1-[2,4-dihydroxy-3-[1-(4-hydroxyphenyl)dec-2-enyl]-6-methoxyphenyl]-3-phenylprop-2-en-1-one",1,0,C32H36O6,
171353266,580.6,C35H32O8,COC1=C2C(=O)C=C(OC2=C(C(=C1)O)C(/C=C/C[C@H](CCC3=CC=C(C=C3)O)O)C4=CC=C(C=C4)O)C5=CC=C(C=C5)O,"7-hydroxy-8-[(E,5S)-5-hydroxy-1,7-bis(4-hydroxyphenyl)hept-2-enyl]-2-(4-hydroxyphenyl)-5-methoxychromen-4-one",1,0,C35H32O9,
171353110,468.5,C26H28O8,COC1=CC(=CC2=C1O[C@H]([C@@H](O2)C3=CC(=C(C(=C3)OC)O)OC)CO)CCC4=CC=C(C=C4)O,"4-[(2S,3S)-3-(hydroxymethyl)-7-[2-(4-hydroxyphenyl)ethyl]-5-methoxy-2,3-dihydro-1,4-benzodioxin-2-yl]-2,6-dimethoxyphenol",1,0,C26H28O9,
171351815,494.5,C31H26O6,COC1=CC(=CC2=C1[C@H]([C@@H]3[C@H](OC4=C([C@@H]3O2)C=CC(=C4)O)C5=CC=CC=C5)/C=C/C6=CC=C(C=C6)O)O,"(6S,6aR,7S,12aR)-7-[(E)-2-(4-hydroxyphenyl)ethenyl]-8-methoxy-6-phenyl-6,6a,7,12a-tetrahydrochromeno[3,2-c]chromene-3,10-diol",1,0,C31H26O7,
171351303,562.8,C37H54O4,C[C@@]1(CCCC(O1)(C)C)C2CC[C@@]3(C2[C@@H](CC4[C@]3(CCC5[C@@]4(C/C(=C/C6=CC=C(C=C6)O)/C(=O)C5(C)C)C)C)O)C,"(2Z,8R,10R,12R,14R)-12-hydroxy-2-[(4-hydroxyphenyl)methylidene]-4,4,8,10,14-pentamethyl-17-[(2R)-2,6,6-trimethyloxan-2-yl]-5,6,7,9,11,12,13,15,16,17-decahydro-1H-cyclopenta[a]phenanthren-3-one",1,0,C37H54O5,
171350433,580.6,C35H32O8,COC1=C2C(=O)C=C(OC2=C(C(=C1)O)[C@@H](/C=C/C[C@H](CCC3=CC=C(C=C3)O)O)C4=CC=C(C=C4)O)C5=CC=C(C=C5)O,"7-hydroxy-8-[(E,1S,5S)-5-hydroxy-1,7-bis(4-hydroxyphenyl)hept-2-enyl]-2-(4-hydroxyphenyl)-5-methoxychromen-4-one",1,0,C35H32O9,
171350203,890.9,C56H42O11,C1[C@H]2[C@]3(C=CC1=O)[C@H]([C@@H]([C@@H]4[C@@H]3C5=C(C=CC=C5O2)[C@H]6[C@@H](OC7=CC(=CC4=C67)O)C8=CC=C(C=C8)O)C9=C1[C@H]([C@@H](OC1=CC(=C9)O)C1=CC=C(C=C1)O)C1=CC(=CC(=C1)O)O)C1=CC=C(C=C1)O,"(1R,2R,3R,4R,11R,12R,19S,24S)-3-[(2R,3R)-3-(3,5-dihydroxyphenyl)-6-hydroxy-2-(4-hydroxyphenyl)-2,3-dihydro-1-benzofuran-4-yl]-7-hydroxy-2,11-bis(4-hydroxyphenyl)-10,18-dioxaheptacyclo[11.10.2.15,9.01,19.04,24.017,25.012,26]hexacosa-5(26),6,8,13(25),14,16,22-heptaen-21-one",1,0,C56H42O12,
171348134,546.6,C34H26O7,CC1=CC2C3C(C1)C4=C(C=C(C=C4OC3(OC5=C2C=CC(=C5)O)C6=CC=C(C=C6)O)C7=CC8=C(O7)C=C(C=C8)O)O,"17-(6-hydroxy-1-benzofuran-2-yl)-1-(4-hydroxyphenyl)-11-methyl-2,20-dioxapentacyclo[11.7.1.03,8.09,21.014,19]henicosa-3(8),4,6,10,14,16,18-heptaene-5,15-diol",1,0,C34H26O8,
