Compound_CID,Molecular_Weight,Molecular_Formula,SMILES,IUPAC_Name,Linked_PubChem_Literature_Count,Linked_PubChem_Patent_Count,Modified_Formula,Matched_Y_CID,Filtered_SMILES_X,Matched_Y_SMILES_Count,Matched_Y_CIDs
172883457,272.4,C18H24O2,CC(C)C(=O)CCC(C)(C=C)/C=C/C1=CC=C(C=C1)O,"(E)-6-ethenyl-8-(4-hydroxyphenyl)-2,6-dimethyloct-7-en-3-one",0,0,C18H24O3,19593730.0,CCCCOCCCCCCCCCCCCCCO,1,139729725
172871087,654.7,C42H38O7,C1=CC(=CC(=C1)O)CCC2=CC(=CC(=C2)OC3=CC(=CC(=C3)CCC4=CC=C(C=C4)O)OC5=CC(=CC(=C5)O)CCC6=CC(=CC=C6)O)O,3-[3-[3-hydroxy-5-[2-(3-hydroxyphenyl)ethyl]phenoxy]-5-[2-(4-hydroxyphenyl)ethyl]phenoxy]-5-[2-(3-hydroxyphenyl)ethyl]phenol,0,0,C42H38O8,172870888.0,CCCCCCOCCCCCCCCOCCCCCCCCCCCCCCOOCCCCCCOCCCCCCCCOO,1,172871138
172871001,654.7,C42H38O7,C1=CC(=CC(=C1)O)CCC2=CC(=C(C=C2)O)OC3=CC(=CC(=C3)CCC4=CC=C(C=C4)O)OC5=C(C=CC(=C5)CCC6=CC(=CC=C6)O)O,2-[3-[2-hydroxy-5-[2-(3-hydroxyphenyl)ethyl]phenoxy]-5-[2-(4-hydroxyphenyl)ethyl]phenoxy]-4-[2-(3-hydroxyphenyl)ethyl]phenol,0,0,C42H38O8,172870888.0,CCCCCCOCCCCCCCCOOCCCCCCCCCCCCCCOOCCCCCCCCCCCCCCOO,1,172870888
172870520,654.7,C42H38O7,C1=CC(=CC(=C1)O)CCC2=CC(=CC(=C2)OC3=C(C=CC(=C3)CCC4=CC=C(C=C4)O)O)OC5=C(C=CC(=C5)CCC6=CC=C(C=C6)O)O,2-[3-[2-hydroxy-5-[2-(4-hydroxyphenyl)ethyl]phenoxy]-5-[2-(3-hydroxyphenyl)ethyl]phenoxy]-4-[2-(4-hydroxyphenyl)ethyl]phenol,0,0,C42H38O8,172870888.0,CCCCCCOCCCCCCCCOCCCCCCCCCCCCCCOOOCCCCCCCCCCCCCCOO,2,172871138;172870888
172819939,374.5,C25H26O3,CC1=C(C=CC(=C1)C2(CCCC(C2)C3=CC=C(C=C3)O)C4=CC=C(C=C4)O)O,"4-[1,3-bis(4-hydroxyphenyl)cyclohexyl]-2-methylphenol",0,3,C25H26O4,12569300.0,CCCCCCCCCCCCCCCCCCCOCCCCCCOO,1,153341865
172794484,320.4,C22H24O2,C1C2CC3CC1C(C(C2)C3C4=CC=C(C=C4)O)C5=CC=C(C=C5)O,4-[4-(4-hydroxyphenyl)-2-adamantyl]phenol,0,1,C22H24O3,11045971.0,CCCCCCCCCCCCCCCCOCCCCCCO,2,139597624;44287845
172770964,320.4,C22H24O2,C1CC(C2C1C3CCC2(C3)C4=CC=C(C=C4)O)C5=CC=C(C=C5)O,"4-[1-(4-hydroxyphenyl)-3-tricyclo[5.2.1.02,6]decanyl]phenol",0,2,C22H24O3,11045971.0,CCCCCCCCCCCCCCCCOCCCCCCO,2,139597624;44287845
172755298,200.23,C13H12O2,C1C2C=CC(C1C3=CC=C(C=C3)O)C2=O,5-(4-hydroxyphenyl)bicyclo[2.2.1]hept-2-en-7-one,0,2,C13H12O3,11977435.0,CCCCCCCCCCCCOCO,1,56604339
172753532,386.5,C27H30O2,CC(C)C1=CC=CC=C1C2CCC(CC2)(C3=CC=C(C=C3)O)C4=CC=C(C=C4)O,4-[1-(4-hydroxyphenyl)-4-(2-propan-2-ylphenyl)cyclohexyl]phenol,0,4,C27H30O3,130386788.0,CCCCCCCCCCCCCCCCCCCCCOCCCCCCO,1,130386788
172682831,298.4,C20H26O2,CCCCC(CCCC1=CC=C(C=C1)O)C2=CC=C(C=C2)O,4-[4-(4-hydroxyphenyl)octyl]phenol,0,2,C20H26O3,10870747.0,CCCCCCCCCCCCCCOCCCCCCO,4,164146799;141095773;139838633;14396469
162025109,264.3,C18H16O2,C1=CC=CC=C1.C1=CC(=CC=C1C2=CC=C(C=C2)O)O,benzene;4-(4-hydroxyphenyl)phenol,0,5,C18H16O3,20058624.0,CCCCCCCCCCCCCCCCCCOO,4,172449359;70891965;68488733;20058624
160480390,304.4,C21H20O2,CC(C)C1=C(C=CC(=C1)C2=CC=CC=C2C3=CC=C(C=C3)O)O,4-[2-(4-hydroxyphenyl)phenyl]-2-propan-2-ylphenol,0,2,C21H20O3,290973.0,CCCCCCCCCCCCCCCCCCCCCOO,19,144294303;139838656;139838638;138718803;132603829;132603828;131853893;118352699;102342617;92146033;92146032;92146031;92146030;88070612;23616714;20355713;20355712;20355689;290973
160479705,370.4,C25H22O3,C.C1=CC(=C(C(=C1)C2=CC=C(C=C2)O)C3=CC=C(C=C3)O)C4=CC=C(C=C4)O,"4-[2,3-bis(4-hydroxyphenyl)phenyl]phenol;methane",0,7,C25H22O4,71122214.0,CCCCCCCCCCCCCOCCCCCCOCCCCCCO,1,152782681
160445077,396.5,C28H28O2,CC1=CC(=CC(=C1)C2=CC(=CC(=C2)C)C)C.C1=CC(=CC=C1C2=CC=C(C=C2)O)O,"1-(3,5-dimethylphenyl)-3,5-dimethylbenzene;4-(4-hydroxyphenyl)phenol",0,26,C28H28O3,21569574.0,CCCCCCCCCCCCCCCCCCCCCCCCCCCCOO,1,21569574
157506474,696.9,C46H48O6,CC1=CC(=CC(=C1O)C)C(C2=CC=C(C=C2)O)C3=CC(=C(C(=C3)C)O)C.CC1=CC(=CC(=C1O)C)C(C2=CC(=CC=C2)O)C3=CC(=C(C(=C3)C)O)C,"4-[(4-hydroxy-3,5-dimethylphenyl)-(3-hydroxyphenyl)methyl]-2,6-dimethylphenol;4-[(4-hydroxy-3,5-dimethylphenyl)-(4-hydroxyphenyl)methyl]-2,6-dimethylphenol",0,2,C46H48O7,159988640.0,CCCCCCCOCCCCCCCCOCCCCCCCOCCCCCCCCOCCCCCCCCOCCCCCCCOC,1,159988640
152642797,270.4,C18H22O2,CC(C)C1=C(C(=C(C=C1)C2=CC=C(C=C2)O)C(C)C)O,"3-(4-hydroxyphenyl)-2,6-di(propan-2-yl)phenol",0,2,C18H22O3,133896.0,CCCCCCCCCCCCCCCOCCCO,4,141425816;58925410;22717008;14915932
152487123,276.3,C19H16O2,CC1=C(C=CC(=C1)C2=CC=CC=C2C3=CC=C(C=C3)O)O,4-[2-(4-hydroxyphenyl)phenyl]-2-methylphenol,0,4,C19H16O3,167947.0,CCCCCCCCCCCCCCCCCCCOO,12,141764882;129713897;126598328;118119023;118119019;118041031;101600267;87406748;71219104;58381748;22015090;20206060
152454984,298.4,C20H26O2,CCC(CC(C)CCC1=CC=C(C=C1)O)C2=CC=C(C=C2)O,4-[5-(4-hydroxyphenyl)-3-methylheptyl]phenol,0,1,C20H26O3,10870747.0,CCCCCCCCCCCCCCOCCCCCCO,4,164146799;141095773;139838633;14396469
151667819,298.4,C20H26O2,CC(CCCC(C)C1=CC=C(C=C1)O)CC2=CC=C(C=C2)O,4-[6-(4-hydroxyphenyl)-2-methylheptyl]phenol,0,1,C20H26O3,10870747.0,CCCCCCCCCCCCCOCCCCCCCO,2,172764444;137648055
150854133,270.4,C18H22O2,CC(CCC1=CC=C(C=C1)O)C(C)C2=CC=C(C=C2)O,4-[4-(4-hydroxyphenyl)-3-methylpentyl]phenol,0,1,C18H22O3,133896.0,CCCCCCCCCCOCCCCCCCCO,4,101303480;101303440;88477420;67872386
150598110,298.4,C20H26O2,CCC(CCCCCC1=CC=C(C=C1)O)C2=CC=C(C=C2)O,4-[6-(4-hydroxyphenyl)octyl]phenol,0,1,C20H26O3,10870747.0,CCCCCCCCCCCCCCOCCCCCCO,4,164146799;141095773;139838633;14396469
161369547,696.9,C46H48O6,CC1=CC(=C(C=C1O)C)C(C2=CC=C(C=C2)O)C3=C(C=C(C(=C3)C)O)C.CC1=CC(=C(C=C1O)C)C(C2=CC(=CC=C2)O)C3=C(C=C(C(=C3)C)O)C,"4-[(4-hydroxy-2,5-dimethylphenyl)-(3-hydroxyphenyl)methyl]-2,5-dimethylphenol;4-[(4-hydroxy-2,5-dimethylphenyl)-(4-hydroxyphenyl)methyl]-2,5-dimethylphenol",0,1,C46H48O7,159988640.0,CCCCCCCOCCCCCCCCOCCCCCCCOCCCCCCCCOCCCCCCCCOCCCCCCCOC,1,159988640
159814834,352.5,C24H32O2,C1CCCCC(CC(CCCC1)C2=CC=C(C=C2)O)C3=CC=C(C=C3)O,4-[3-(4-hydroxyphenyl)cyclododecyl]phenol,0,1,C24H32O3,67682852.0,CCCCCCCCCCCCCCCCCCOCCCCCCO,3,157208188;157208187;67682852
159709801,298.4,C20H26O2,CCC.C1CCC(C1)(C2=CC=C(C=C2)O)C3=CC=C(C=C3)O,4-[1-(4-hydroxyphenyl)cyclopentyl]phenol;propane,0,1,C20H26O3,10870747.0,CCCCCCCCCCCCCCOCCCCCCO,4,164146799;141095773;139838633;14396469
159313211,696.9,C46H48O6,CC1=CC(=CC(=C1O)C)C(C2=CC=CC=C2O)C3=CC(=C(C(=C3)C)O)C.CC1=CC(=C(C=C1O)C)C(C2=CC=C(C=C2)O)C3=C(C=C(C(=C3)C)O)C,"4-[(4-hydroxy-2,5-dimethylphenyl)-(4-hydroxyphenyl)methyl]-2,5-dimethylphenol;4-[(4-hydroxy-3,5-dimethylphenyl)-(2-hydroxyphenyl)methyl]-2,6-dimethylphenol",0,4,C46H48O7,159988640.0,CCCCCCCOCCCCCCCCOCCCCCCCOCCCCCCCCOCCCCCCCCOCCCCCCCOC,1,159988640
