Compound_CID,Molecular_Weight,Molecular_Formula,SMILES,IUPAC_Name,Linked_PubChem_Literature_Count,Linked_PubChem_Patent_Count,Modified_Formula,Matched_Y_CID,Filtered_SMILES_X,Matched_Y_SMILES_Count,Matched_Y_CIDs
172972896,300.3,C17H16O5,COC1=CC(=CC(=C1)C(=O)CC(=O)C2=CC=C(C=C2)O)OC,"1-(3,5-dimethoxyphenyl)-3-(4-hydroxyphenyl)propane-1,3-dione",0,0,C17H16O6,356763.0,COCCCCCCCOCCOCCCCCCOOC,0,
163320075,686.7,C42H38O9,COC1=C(C2=C([C@@H]3C[C@@H](O[C@@H](C3C(O2)C4=CC=C(C=C4)O)C5=CC=C(C=C5)O)CCC6=CC=C(C=C6)O)C(=C1)O)C(=O)/C=C/C7=CC=C(C=C7)O,"(E)-1-[(2S,4S,10bR)-10-hydroxy-4,5-bis(4-hydroxyphenyl)-2-[2-(4-hydroxyphenyl)ethyl]-8-methoxy-1,2,4,4a,5,10b-hexahydropyrano[3,4-c]chromen-7-yl]-3-(4-hydroxyphenyl)prop-2-en-1-one",0,0,C42H38O10,172870788.0,COCCCCCCCOCCCOCCCCCCOCCCCCCOCCCCCCCCOCCOCOCCCCCCCCO,0,
172885208,518.5,C26H30O11,CC(=CCC1=C(C=C(C2=C1OC([C@H](C2=O)O)C3=CC=C(C=C3)O)O)OC4C(C(C([C@H](O4)CO)O)O)O)C,"(3R)-3,5-dihydroxy-2-(4-hydroxyphenyl)-8-(3-methylbut-2-enyl)-7-[(6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-2,3-dihydrochromen-4-one",0,0,C26H30O12,160829025.0,CCCCCCCCCCOCCCOOCCCCCCOOOCCCCCOCOOOOC,0,
172885195,564.5,C30H28O11,C1=CC2=C(C(=C1)O)C(=O)C3=C(C2C4[C@@H]([C@@H]([C@@H]([C@H](O4)COC(=O)/C=C/C5=CC=C(C=C5)O)O)O)O)C=C(C=C3O)CO,"[(2R,3S,4S,5R)-6-[4,5-dihydroxy-2-(hydroxymethyl)-10-oxo-9H-anthracen-9-yl]-3,4,5-trihydroxyoxan-2-yl]methyl (E)-3-(4-hydroxyphenyl)prop-2-enoate",0,0,C30H28O12,157991634.0,CCCCCCOCOCCCCCCCCOCOCOCCCCCCCCOOOOCCCCOCO,0,
172883487,578.5,C27H30O14,CC1=C(C(=O)C=CO1)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)COC(=O)CC(C)(CC(=O)O)O)O)O)OC(=O)/C=C/C3=CC=C(C=C3)O,"5-[[(2R,3S,4S,5R,6S)-3,4-dihydroxy-5-[(E)-3-(4-hydroxyphenyl)prop-2-enoyl]oxy-6-(2-methyl-4-oxopyran-3-yl)oxyoxan-2-yl]methoxy]-3-hydroxy-3-methyl-5-oxopentanoic acid",0,0,C27H30O15,170853140.0,CCCCOCCOOCCCCCOCOCOCCCCCOOOOOOCOCCCCCCCCO,0,
172883454,354.4,C21H22O5,CC(=C)C(CC1=CC2=C(C=C1OC)OC(CC2=O)C3=CC=C(C=C3)O)O,"6-(2-hydroxy-3-methylbut-3-enyl)-2-(4-hydroxyphenyl)-7-methoxy-2,3-dihydrochromen-4-one",0,0,C21H22O6,69504945.0,CCCCCCCCCCCOCOCCCOCCCCCCOO,0,
172883452,372.4,C21H24O6,CC(C)(C(CC1=CC2=C(C=C1OC)OC(CC2=O)C3=CC=C(C=C3)O)O)O,"6-(2,3-dihydroxy-3-methylbutyl)-2-(4-hydroxyphenyl)-7-methoxy-2,3-dihydrochromen-4-one",0,0,C21H24O7,10548306.0,CCCCCCCCCCCOCOCCCOCCCCCCOOO,0,
172875362,362.5,C24H26O3,CC1=CCC2C(C1)C3=C(C=C(C=C3OC2(C)C)O)C=CC4=CC=C(C=C4)O,"1-[2-(4-hydroxyphenyl)ethenyl]-6,6,9-trimethyl-6a,7,10,10a-tetrahydrobenzo[c]chromen-3-ol",0,0,C24H26O4,641730.0,CCCCCCCCCCCCCOCCCOCCCCCCCCO,0,
172875234,362.5,C24H26O3,CC1=CCC2C(C1)C3=C(C=C(C=C3OC2(C)C)C=CC4=CC=C(C=C4)O)O,"3-[2-(4-hydroxyphenyl)ethenyl]-6,6,9-trimethyl-6a,7,10,10a-tetrahydrobenzo[c]chromen-1-ol",0,0,C24H26O4,641730.0,CCCCCCCCCCCCCOCCCCCCCCCCCOO,0,
172871502,376.4,C20H24O7,C1=CC(=CC=C1CCC2=CC=C(C=C2)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O,"(2R,3S,4S,5R,6S)-2-(hydroxymethyl)-6-[4-[2-(4-hydroxyphenyl)ethyl]phenoxy]oxane-3,4,5-triol",0,0,C20H24O8,11234737.0,CCCCCCCCCCCCCCOCCCCCOCOOOOO,0,
