Compound_CID,Molecular_Weight,Molecular_Formula,SMILES,IUPAC_Name,Linked_PubChem_Literature_Count,Linked_PubChem_Patent_Count,Modified_Formula,Matched_Y_CID
172687674,374.3,C18H14O9,C1=CC(=CC=C1C(=C(/C(=C(/C2=CC(=C(C=C2)O)O)\C(=O)O)/O)O)C(=O)O)O,"(2E)-2-(3,4-dihydroxyphenyl)-3,4-dihydroxy-5-(4-hydroxyphenyl)hexa-2,4-dienedioic acid",0,23,C19H16O9,44260029.0
159092682,572.5,C30H20O12,C1=CC(=C(C=C1C2=C(C(=O)C3=C(O2)C=CC(=C3)O)O)O)O.C1=CC(=C(C=C1C2=C(C(=O)C3=C(O2)C=CC(=C3)O)O)O)O,"2-(3,4-dihydroxyphenyl)-3,6-dihydroxychromen-4-one",0,2,C31H22O12,68495372.0
14237605,592.6,C29H36O13,CC1C(C(C(C(O1)OC2C(C(OC(C2OC(=O)/C=C/C3=CC(=C(C=C3)O)O)CO)OCCC4=CC=CC=C4)O)O)O)O,"[5-hydroxy-2-(hydroxymethyl)-6-(2-phenylethoxy)-4-(3,4,5-trihydroxy-6-methyloxan-2-yl)oxyoxan-3-yl] (E)-3-(3,4-dihydroxyphenyl)prop-2-enoate",0,1,C30H38O13,57859671.0
160271654,572.5,C30H20O12,C1=CC(=C(C=C1C2=COC3=CC(=CC(=C3C2=O)O)O)O)O.C1=CC(=C(C=C1C2=COC3=CC(=CC(=C3C2=O)O)O)O)O,"3-(3,4-dihydroxyphenyl)-5,7-dihydroxychromen-4-one",0,4,C31H22O12,68495372.0
158713907,492.4,C26H20O10,C1=CC(=C(C=C1/C=C/C2=C(C=CC(=C2O)O)/C=C/C(=O)[C@H](C(=O)C3=CC(=C(C=C3)O)O)C(=O)O)O)O,"(E,2R)-2-(3,4-dihydroxybenzoyl)-5-[2-[(E)-2-(3,4-dihydroxyphenyl)ethenyl]-3,4-dihydroxyphenyl]-3-oxopent-4-enoic acid",0,1,C27H22O10,91638474.0
158458996,508.5,C30H20O8,C1=CC=C2C(=C1)C(=O)C=C(O2)C3=CC(=C(C=C3)O)O.C1=CC=C2C(=C1)C(=O)C=C(O2)C3=CC(=C(C=C3)O)O,"2-(3,4-dihydroxyphenyl)chromen-4-one",0,4,C31H22O8,130229320.0
157120493,572.5,C30H20O12,C1=CC(=C(C=C1C2=CC(=O)C3=C(O2)C(=C(C=C3)O)O)O)O.C1=CC(=C(C=C1C2=CC(=O)C3=C(O2)C(=C(C=C3)O)O)O)O,"2-(3,4-dihydroxyphenyl)-7,8-dihydroxychromen-4-one",0,10,C31H22O12,68495372.0
6124216,656.6,C29H36O17,C1=CC(=C(C=C1/C=C/C(=O)OC2C(OC(C(C2OC3C(C(C(C(O3)CO)O)O)O)O)OCC(C4=CC(=C(C=C4)O)O)O)CO)O)O,"[6-[2-(3,4-dihydroxyphenyl)-2-hydroxyethoxy]-5-hydroxy-2-(hydroxymethyl)-4-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxan-3-yl] (E)-3-(3,4-dihydroxyphenyl)prop-2-enoate",0,0,C30H38O17,54764774.0
172450272,394.3,C21H14O8,C1=CC(=CC=C1C2=C(C=C(C3=C2OC(=C(C3=O)O)C4=CC(=C(C=C4)O)O)O)O)O,"2-(3,4-dihydroxyphenyl)-3,5,7-trihydroxy-8-(4-hydroxyphenyl)chromen-4-one",0,0,C22H16O8,15735794.0
171568283,738.7,C37H38O16,COC(=O)CCC1=CC(=C(C=C1)O)O.C1C(C2=C(C=CC(=C2O1)O)/C=C/C(=O)O)C(=O)O.C1=CC=C(C(=C1)O)O.C1=CC(=C(C=C1CCC(=O)O)O)O,"benzene-1,2-diol;4-[(E)-2-carboxyethenyl]-7-hydroxy-2,3-dihydro-1-benzofuran-3-carboxylic acid;3-(3,4-dihydroxyphenyl)propanoic acid;methyl 3-(3,4-dihydroxyphenyl)propanoate",0,0,C38H40O16,171568264.0
