Compound_CID,Molecular_Weight,Molecular_Formula,SMILES,IUPAC_Name,Linked_PubChem_Literature_Count,Linked_PubChem_Patent_Count,Modified_Formula,Matched_Y_CID
172885174,678.6,C34H30O15,C1C(C[C@H](C([C@@H]1OC(=O)/C=C/C2=CC(=C(C=C2)O)O)OC(=O)/C=C\C3=CC(=C(C=C3)O)O)OC(=O)/C=C/C4=CC(=C(C=C4)O)O)(O)C(=O)O,"(3R,5R)-3,5-bis[[(E)-3-(3,4-dihydroxyphenyl)prop-2-enoyl]oxy]-4-[(Z)-3-(3,4-dihydroxyphenyl)prop-2-enoyl]oxy-1-hydroxycyclohexane-1-carboxylic acid",0,0,C35H32O15,
172876508,648.5,C28H24O18,C1=CC(=C(C=C1C2=C(C(=O)C3=C(O2)C=C(C(=C3O)C4=C(C(=C(C=C4C(=O)OC5(C(C(C(C(O5)CO)O)O)O)O)O)O)O)O)O)O)O,"[2,3,4,5-tetrahydroxy-6-(hydroxymethyl)oxan-2-yl] 2-[2-(3,4-dihydroxyphenyl)-3,5,7-trihydroxy-4-oxochromen-6-yl]-3,4,5-trihydroxybenzoate",0,0,C29H26O18,
172871358,702.7,C42H38O10,C1=CC(=CC(=C1)O)CCC2=CC(=C(C=C2O)O)OC3=CC(=CC(=C3)CCC4=CC(=C(C=C4)O)O)OC5=C(C=C(C(=C5)CCC6=CC(=CC=C6)O)O)O,"4-[3-[2,4-dihydroxy-5-[2-(3-hydroxyphenyl)ethyl]phenoxy]-5-[2-(3,4-dihydroxyphenyl)ethyl]phenoxy]-6-[2-(3-hydroxyphenyl)ethyl]benzene-1,3-diol",0,0,C43H40O10,
172870195,836.9,C44H52O16,COC(=O)CC[C@H](CC1=CC(=C(C=C1)O)O)[C@@H](CC2=CC(=C(C=C2)O)O)C(=O)OC.COC(=O)CC[C@@H](CC1=CC(=C(C=C1)O)O)[C@H](CC2=CC(=C(C=C2)O)O)C(=O)OC,"dimethyl (2S,3S)-2,3-bis[(3,4-dihydroxyphenyl)methyl]hexanedioate;dimethyl (2R,3R)-2,3-bis[(3,4-dihydroxyphenyl)methyl]hexanedioate",0,0,C45H54O16,
172869179,973.1,C60H60O12,C1=CC(=CC(=C1)O)CC[C@H](CC2=CC(=C(C=C2)O)O)[C@@H](CC3=CC(=C(C=C3)O)O)C4=CC(=CC=C4)O.C1=CC(=CC(=C1)O)CC[C@@H](CC2=CC(=C(C=C2)O)O)[C@H](CC3=CC(=C(C=C3)O)O)C4=CC(=CC=C4)O,"4-[(2S,3S)-4-(3,4-dihydroxyphenyl)-3-(3-hydroxyphenyl)-2-[2-(3-hydroxyphenyl)ethyl]butyl]benzene-1,2-diol;4-[(2R,3R)-4-(3,4-dihydroxyphenyl)-3-(3-hydroxyphenyl)-2-[2-(3-hydroxyphenyl)ethyl]butyl]benzene-1,2-diol",0,0,C61H62O12,
172869176,973.1,C60H60O12,C1=CC(=CC(=C1)O)C[C@@H](CCC2=CC(=C(C=C2)O)O)[C@@H](CC3=CC(=CC=C3)O)C4=CC(=C(C=C4)O)O.C1=CC(=CC(=C1)O)C[C@H](CCC2=CC(=C(C=C2)O)O)[C@H](CC3=CC(=CC=C3)O)C4=CC(=C(C=C4)O)O,"4-[(3S,4S)-4-(3,4-dihydroxyphenyl)-5-(3-hydroxyphenyl)-3-[(3-hydroxyphenyl)methyl]pentyl]benzene-1,2-diol;4-[(3R,4R)-4-(3,4-dihydroxyphenyl)-5-(3-hydroxyphenyl)-3-[(3-hydroxyphenyl)methyl]pentyl]benzene-1,2-diol",0,0,C61H62O12,
172869164,1037.099,C60H60O16,C1=CC(=C(C=C1CC[C@H](CC2=CC(=CC(=C2)O)O)[C@@H](CC3=CC(=CC(=C3)O)O)C4=CC(=C(C=C4)O)O)O)O.C1=CC(=C(C=C1CC[C@@H](CC2=CC(=CC(=C2)O)O)[C@H](CC3=CC(=CC(=C3)O)O)C4=CC(=C(C=C4)O)O)O)O,"4-[(3R,4R)-4-(3,4-dihydroxyphenyl)-5-(3,5-dihydroxyphenyl)-3-[(3,5-dihydroxyphenyl)methyl]pentyl]benzene-1,2-diol;4-[(3S,4S)-4-(3,4-dihydroxyphenyl)-5-(3,5-dihydroxyphenyl)-3-[(3,5-dihydroxyphenyl)methyl]pentyl]benzene-1,2-diol",0,0,C61H62O16,
172869161,1037.099,C60H60O16,C1=CC(=C(C=C1C[C@@H](CCC2=CC(=CC(=C2)O)O)[C@@H](CC3=CC(=C(C=C3)O)O)C4=CC(=CC(=C4)O)O)O)O.C1=CC(=C(C=C1C[C@H](CCC2=CC(=CC(=C2)O)O)[C@H](CC3=CC(=C(C=C3)O)O)C4=CC(=CC(=C4)O)O)O)O,"4-[(2S,3S)-4-(3,4-dihydroxyphenyl)-3-(3,5-dihydroxyphenyl)-2-[2-(3,5-dihydroxyphenyl)ethyl]butyl]benzene-1,2-diol;4-[(2R,3R)-4-(3,4-dihydroxyphenyl)-3-(3,5-dihydroxyphenyl)-2-[2-(3,5-dihydroxyphenyl)ethyl]butyl]benzene-1,2-diol",0,0,C61H62O16,
172869128,885.3,C56H84O8,CCCCCCC[C@H](CC1=CC(=C(C=C1)O)O)[C@H](CCCCC)CC2=CC(=C(C=C2)O)O.CCCCCCC[C@@H](CC1=CC(=C(C=C1)O)O)[C@@H](CCCCC)CC2=CC(=C(C=C2)O)O,"4-[(2S,3S)-3-[(3,4-dihydroxyphenyl)methyl]-2-pentyldecyl]benzene-1,2-diol;4-[(2R,3R)-3-[(3,4-dihydroxyphenyl)methyl]-2-pentyldecyl]benzene-1,2-diol",0,0,C57H86O8,
172869125,829.2,C52H76O8,CCCCCC[C@H](CC1=CC(=C(C=C1)O)O)[C@H](CCCC)CC2=CC(=C(C=C2)O)O.CCCCCC[C@@H](CC1=CC(=C(C=C1)O)O)[C@@H](CCCC)CC2=CC(=C(C=C2)O)O,"4-[(2S,3S)-2-butyl-3-[(3,4-dihydroxyphenyl)methyl]nonyl]benzene-1,2-diol;4-[(2R,3R)-2-butyl-3-[(3,4-dihydroxyphenyl)methyl]nonyl]benzene-1,2-diol",0,0,C53H78O8,
172869122,773.0,C48H68O8,CCCCC[C@H](CC1=CC(=C(C=C1)O)O)[C@H](CCC)CC2=CC(=C(C=C2)O)O.CCCCC[C@@H](CC1=CC(=C(C=C1)O)O)[C@@H](CCC)CC2=CC(=C(C=C2)O)O,"4-[(2S,3S)-3-[(3,4-dihydroxyphenyl)methyl]-2-propyloctyl]benzene-1,2-diol;4-[(2R,3R)-3-[(3,4-dihydroxyphenyl)methyl]-2-propyloctyl]benzene-1,2-diol",0,0,C49H70O8,
172869119,780.9,C44H60O12,C[C@H](CC[C@H](CC1=CC(=C(C=C1)O)O)[C@@H](CC2=CC(=C(C=C2)O)O)[C@@H](C)O)O.C[C@H](CC[C@@H](CC1=CC(=C(C=C1)O)O)[C@H](CC2=CC(=C(C=C2)O)O)[C@@H](C)O)O,"4-[(2S,5R)-2-[(2S,3R)-1-(3,4-dihydroxyphenyl)-3-hydroxybutan-2-yl]-5-hydroxyhexyl]benzene-1,2-diol;4-[(2R,5R)-2-[(2R,3R)-1-(3,4-dihydroxyphenyl)-3-hydroxybutan-2-yl]-5-hydroxyhexyl]benzene-1,2-diol",0,0,C45H62O12,
