Compound_CID,Molecular_Weight,Molecular_Formula,SMILES,IUPAC_Name,Linked_PubChem_Literature_Count,Linked_PubChem_Patent_Count,Modified_Formula,Matched_Y_CID,Filtered_SMILES_X,Y_Trimmed_Candidates,Matched_Y_Trimmed,Match_Found
172966121,334.4,C19H26O5,CC1([C@@H]2CCC1([C@H](C2)OC(=O)C(CC3=CC(=C(C=C3)O)O)O)C)C,"[(2S,4R)-1,7,7-trimethyl-2-bicyclo[2.2.1]heptanyl] 3-(3,4-dihydroxyphenyl)-2-hydroxypropanoate",0,0,C20H28O5,,CCCCCCCCOCOCCCCCCCCOOOCC,,,False
172913617,816.7,C38H40O20,COC1=CC(=CC(=C1O)OC)C2=C(C=C3C(=CC(=CC3=[O+]2)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)C[O-])O)O)O)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)COC(=O)/C=C/C6=CC(=C(C=C6)O)O)O)O)O,"[(2R,3S,4S,5R,6S)-6-[3-[(2S,3R,4S,5S,6R)-6-[[(E)-3-(3,4-dihydroxyphenyl)prop-2-enoyl]oxymethyl]-3,4,5-trihydroxyoxan-2-yl]oxy-7-hydroxy-2-(4-hydroxy-3,5-dimethoxyphenyl)chromenylium-5-yl]oxy-3,4,5-trihydroxyoxan-2-yl]methanolate",0,0,C39H42O20,,COCCCCCCOOCCCCCCCCCCOOOCCCCCOCOOOOOCCCCCOCOCOCCCCCCCCOOOOO,,,False
172913596,948.8,C43H48O24,COC1=C(C=CC(=C1)C2=C(C=C3C(=CC(=CC3=[O+]2)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)COC(=O)/C=C/C6=CC(=C(C=C6)O)O)O)O)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)C[O-])O)O)O)O,"[(2R,3S,4S,5R,6S)-6-[(2S,3R,4S,5S,6R)-6-[[(E)-3-(3,4-dihydroxyphenyl)prop-2-enoyl]oxymethyl]-4,5-dihydroxy-2-[7-hydroxy-2-(4-hydroxy-3-methoxyphenyl)-5-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromenylium-3-yl]oxyoxan-3-yl]oxy-3,4,5-trihydroxyoxan-2-yl]methanolate",0,0,C44H50O24,,COCCCCCCCCCCCCCCCOOOCCCCCOCOOOOOCCCCCOCOCOCCCCCCCCOOOOOCCCCCOCOOOOO,,,False
172913595,1080.9,C51H52O26,C1=CC(=CC=C1C2=C(C=C3C(=CC(=CC3=[O+]2)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)C[O-])O)O)O)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)COC(=O)/C=C/C6=CC(=C(C=C6)O)O)O)O)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)COC(=O)/C=C/C8=CC(=C(C=C8)O)O)O)O)O)O,"[(2R,3S,4S,5R,6S)-6-[3-[(2S,3R,4S,5S,6R)-6-[[(E)-3-(3,4-dihydroxyphenyl)prop-2-enoyl]oxymethyl]-3-[(2S,3R,4S,5S,6R)-6-[[(E)-3-(3,4-dihydroxyphenyl)prop-2-enoyl]oxymethyl]-3,4,5-trihydroxyoxan-2-yl]oxy-4,5-dihydroxyoxan-2-yl]oxy-7-hydroxy-2-(4-hydroxyphenyl)chromenylium-5-yl]oxy-3,4,5-trihydroxyoxan-2-yl]methanolate",0,0,C52H54O26,,CCCCCCCCCCCCCCCOOOCCCCCOCOOOOOCCCCCOCOCOCCCCCCCCOOOOOCCCCCOCOCOCCCCCCCCOOOOOO,,,False
172913594,918.8,C42H46O23,C1=CC(=CC=C1C2=C(C=C3C(=CC(=CC3=[O+]2)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)C[O-])O)O)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)COC(=O)/C=C/C7=CC(=C(C=C7)O)O)O)O)O)O,"[(2R,3S,4S,5R,6S)-5-[(2S,3R,4S,5S,6R)-6-[[(E)-3-(3,4-dihydroxyphenyl)prop-2-enoyl]oxymethyl]-3,4,5-trihydroxyoxan-2-yl]oxy-3,4-dihydroxy-6-[7-hydroxy-2-(4-hydroxyphenyl)-5-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromenylium-3-yl]oxyoxan-2-yl]methanolate",0,0,C43H48O23,,CCCCCCCCCCCCCCCOOOCCCCCOCOOOOOCCCCCOCOOOOCCCCCOCOCOCCCCCCCCOOOOOO,,,False
172897957,1167.0,C54H54O29,C1=CC(=CC=C1C2=C(C=C3C(=CC(=CC3=[O+]2)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)COC(=O)CC(=O)[O-])O)O)O)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)COC(=O)/C=C/C6=CC(=C(C=C6)O)O)O)O)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)COC(=O)/C=C/C8=CC(=C(C=C8)O)O)O)O)O)O,"3-[[(2R,3S,4S,5R,6S)-6-[3-[(2S,3R,4S,5S,6R)-6-[[(E)-3-(3,4-dihydroxyphenyl)prop-2-enoyl]oxymethyl]-3-[(2S,3R,4S,5S,6R)-6-[[(E)-3-(3,4-dihydroxyphenyl)prop-2-enoyl]oxymethyl]-3,4,5-trihydroxyoxan-2-yl]oxy-4,5-dihydroxyoxan-2-yl]oxy-7-hydroxy-2-(4-hydroxyphenyl)chromenylium-5-yl]oxy-3,4,5-trihydroxyoxan-2-yl]methoxy]-3-oxopropanoate",0,0,C55H56O29,,CCCCCCCCCCCCCCCOOOCCCCCOCOCOCCOOOOOOCCCCCOCOCOCCCCCCCCOOOOOCCCCCOCOCOCCCCCCCCOOOOOO,,,False
172897895,918.8,C42H46O23,COC1=C(C=CC(=C1)/C=C/C(=O)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC[C@@H]3[C@@H]([C@@H]([C@H]([C@@H](O3)OC4=CC5=C(C=C(C=C5[O+]=C4C6=CC(=C(C=C6)O)O)O)O)O[C@H]7[C@@H]([C@H]([C@@H](CO7)O)O)O)O)O)O)O)O)[O-],"4-[(E)-3-[[(2R,3S,4S,5R,6R)-6-[[(2R,3R,4S,5R,6S)-6-[2-(3,4-dihydroxyphenyl)-5,7-dihydroxychromenylium-3-yl]oxy-3,4-dihydroxy-5-[(2S,3R,4S,5R)-3,4,5-trihydroxyoxan-2-yl]oxyoxan-2-yl]methoxy]-3,4,5-trihydroxyoxan-2-yl]methoxy]-3-oxoprop-1-enyl]-2-methoxyphenolate",0,0,C43H48O23,,COCCCCCCCCCOOCCCCCCOOCCCCCCOOCCCCCCCCOCCCCCCCOOOOOCCCCCOOOOOOOOOO,,,False
172878757,510.5,C30H22O8,C1=CC(=C(C=C1C2=CC(=C(C=C2C3=CC(=C(C=C3)O)O)C4=CC(=C(C=C4)O)O)C5=CC(=C(C=C5)O)O)O)O,"4-[2,4,5-tris(3,4-dihydroxyphenyl)phenyl]benzene-1,2-diol",0,0,C31H24O8,,CCCCCCCCCCCCCCCCCCOOCCCCCCOOCCCCCCOOOO,,,False
172878536,1183.0,C55H58O29,COC1=C(C=CC(=C1)/C=C/C(=O)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC3=C(OC4=C(C3)C(=CC(=C4)O)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)COC(=O)CC(=O)O)O)O)O)C6=CC=C(C=C6)O)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)COC(=O)/C=C/C8=CC(=C(C=C8)O)O)O)O)O)O)O)O,"3-[[(2R,3S,4S,5R,6S)-6-[[3-[(2S,3R,4S,5S,6R)-3-[(2S,3R,4S,5S,6R)-6-[[(E)-3-(3,4-dihydroxyphenyl)prop-2-enoyl]oxymethyl]-3,4,5-trihydroxyoxan-2-yl]oxy-4,5-dihydroxy-6-[[(E)-3-(4-hydroxy-3-methoxyphenyl)prop-2-enoyl]oxymethyl]oxan-2-yl]oxy-7-hydroxy-2-(4-hydroxyphenyl)-4H-chromen-5-yl]oxy]-3,4,5-trihydroxyoxan-2-yl]methoxy]-3-oxopropanoic acid",0,0,C56H60O29,,COCCCCCCCCCOOCCCCCCOOCCOCCCCCCCOOCCCCCOCOCOCCOOOOOCCCCCCOOCCCCCOCOCOCCCCCCCCOOOOOOOO,,,False
172878502,1006.9,C45H50O26,C1C2=C(C=C(C=C2O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)COC(=O)CC(=O)O)O)O)O)O)OC(=C1O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)COC(=O)/C=C/C5=CC(=C(C=C5)O)O)O)O)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O)C7=CC=C(C=C7)O,"3-[[(2R,3S,4S,5R,6S)-6-[[3-[(2S,3R,4S,5S,6R)-6-[[(E)-3-(3,4-dihydroxyphenyl)prop-2-enoyl]oxymethyl]-4,5-dihydroxy-3-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxan-2-yl]oxy-7-hydroxy-2-(4-hydroxyphenyl)-4H-chromen-5-yl]oxy]-3,4,5-trihydroxyoxan-2-yl]methoxy]-3-oxopropanoic acid",0,0,C46H52O26,,CCCCCCCOCCCCCOCOCOCCOOOOOOOCCOCCCCCOCOCOCCCCCCCCOOOOOCCCCCOCOOOOCCCCCCO,,,False
